id,meansp,minsp,maxsp,mediansp,totsp,nums,mhi,pir,mgr_phi,mmoc_phi
370630020221,208855.56,120000.00,277000.00,219000.00,9398500.00,45,53197.00,4.12,22.50,15.90
370630020222,237768.07,113000.00,425500.00,231750.00,39469500.00,166,78938.00,2.94,27.30,16.70
370630020231,241628.79,25000.00,375000.00,239250.00,15947500.00,66,61940.00,3.86,21.70,16.70
370630020232,263223.21,153000.00,360000.00,260000.00,14740500.00,56,77277.00,3.36,24.70,11.70
370630020241,285950.51,8500.00,505000.00,272750.00,112664500.00,394,92155.00,2.96,26.10,14.80
370630020242,222342.11,155000.00,330000.00,219000.00,12673500.00,57,52708.00,4.15,21.50,20.50
370630020243,253454.55,207000.00,320000.00,242000.00,8364000.00,33,66546.00,3.64,37.30,17.50
370630020251,213106.80,500.00,331000.00,221750.00,43900000.00,206,91196.00,2.43,24.40,18.10
370630020252,213590.48,20000.00,325000.00,225000.00,22427000.00,105,58897.00,3.82,50.00,19.90
370630020253,170895.81,76000.00,370000.00,170000.00,11791811.00,69,72031.00,2.36,19.40,16.10
370630020261,139308.14,10000.00,250000.00,137500.00,11980500.00,86,33611.00,4.09,43.50,22.80
370630020262,201745.00,45000.00,391500.00,174000.00,10087250.00,50,45227.00,3.85,30.80,15.30
370630020271,462067.98,20000.00,2760000.00,241750.00,105351500.00,228,46953.00,5.15,32.20,21.80
370630020272,220253.21,130000.00,745000.00,210000.00,34359500.00,156,49381.00,4.25,31.80,16.80
370630020273,270000.00,270000.00,270000.00,270000.00,270000.00,1,40399.00,6.68,25.70,
370630020281,299188.41,6000.00,587500.00,270000.00,123864000.00,414,76750.00,3.52,22.00,17.90
370630020282,410458.33,325000.00,482500.00,412500.00,4925500.00,12,49643.00,8.31,23.00,10.00
370630020283,299580.29,95000.00,765000.00,296000.00,41042500.00,137,68868.00,4.30,21.60,16.60
370630021001,400426.09,4000.00,2537500.00,335000.00,46049000.00,115,85061.00,3.94,32.80,16.50
370630021002,263872.55,30500.00,460000.00,292500.00,13457500.00,51,75278.00,3.89,,17.80
370630021003,287552.08,56500.00,750000.00,260750.00,13802500.00,48,100000.00,2.61,,17.30
370630022001,388145.83,70000.00,975500.00,317500.00,9315500.00,24,64000.00,4.96,23.10,19.40
370630023001,237761.36,30000.00,440000.00,226250.00,20923000.00,88,21250.00,10.65,29.90,15.50
370630023002,68666.67,11000.00,130000.00,65000.00,206000.00,3,14327.00,4.54,50.00,
370639801001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
