GEOID10,msp2015,tsp2015,ns2015,msp2016,tsp2016,ns2016
370630015022,0.0,0.0,0.0,0.0,0.0,0.0
370630015023,0.0,0.0,0.0,0.0,0.0,0.0
370630015024,0.0,0.0,0.0,0.0,0.0,0.0
370630015031,0.0,0.0,0.0,0.0,0.0,0.0
370630016011,0.0,0.0,0.0,0.0,0.0,0.0
370630016012,0.0,0.0,0.0,0.0,0.0,0.0
370630016013,0.0,0.0,0.0,0.0,0.0,0.0
370630016031,0.0,0.0,0.0,0.0,0.0,0.0
370630016032,0.0,0.0,0.0,0.0,0.0,0.0
370630016033,0.0,0.0,0.0,0.0,0.0,0.0
370630016034,0.0,0.0,0.0,0.0,0.0,0.0
370630016041,0.0,0.0,0.0,0.0,0.0,0.0
370630016042,0.0,0.0,0.0,0.0,0.0,0.0
370630016043,0.0,0.0,0.0,0.0,0.0,0.0
370630017051,0.0,0.0,0.0,0.0,0.0,0.0
370630017052,0.0,0.0,0.0,0.0,0.0,0.0
370630017053,0.0,0.0,0.0,0.0,0.0,0.0
370630017061,0.0,0.0,0.0,0.0,0.0,0.0
370630017062,0.0,0.0,0.0,0.0,0.0,0.0
370630017071,0.0,0.0,0.0,0.0,0.0,0.0
370630017072,0.0,0.0,0.0,0.0,0.0,0.0
370630017073,0.0,0.0,0.0,0.0,0.0,0.0
370630017074,0.0,0.0,0.0,0.0,0.0,0.0
370630017075,0.0,0.0,0.0,0.0,0.0,0.0
370630017081,0.0,0.0,0.0,0.0,0.0,0.0
370630017091,0.0,0.0,0.0,0.0,0.0,0.0
370630017092,0.0,0.0,0.0,0.0,0.0,0.0
370630017093,0.0,0.0,0.0,0.0,0.0,0.0
370630017101,0.0,0.0,0.0,0.0,0.0,0.0
370630017102,0.0,0.0,0.0,0.0,0.0,0.0
370630017111,0.0,0.0,0.0,0.0,0.0,0.0
370630017112,0.0,0.0,0.0,0.0,0.0,0.0
370630017113,0.0,0.0,0.0,0.0,0.0,0.0
370630018011,0.0,0.0,0.0,0.0,0.0,0.0
370630018012,0.0,0.0,0.0,0.0,0.0,0.0
370630018013,0.0,0.0,0.0,0.0,0.0,0.0
370630018014,0.0,0.0,0.0,0.0,0.0,0.0
370630018015,0.0,0.0,0.0,0.0,0.0,0.0
370630018021,0.0,0.0,0.0,0.0,0.0,0.0
370630018022,0.0,0.0,0.0,0.0,0.0,0.0
370630018023,0.0,0.0,0.0,0.0,0.0,0.0
370630018024,0.0,0.0,0.0,0.0,0.0,0.0
370630018061,0.0,0.0,0.0,0.0,0.0,0.0
370630018062,0.0,0.0,0.0,0.0,0.0,0.0
370630018071,0.0,0.0,0.0,0.0,0.0,0.0
370630018072,0.0,0.0,0.0,0.0,0.0,0.0
370630018073,0.0,0.0,0.0,0.0,0.0,0.0
370630018081,0.0,0.0,0.0,0.0,0.0,0.0
370630018082,0.0,0.0,0.0,0.0,0.0,0.0
370630018091,0.0,0.0,0.0,0.0,0.0,0.0
370630018092,0.0,0.0,0.0,0.0,0.0,0.0
370630019001,0.0,0.0,0.0,0.0,0.0,0.0
370630019002,0.0,0.0,0.0,0.0,0.0,0.0
370630020071,0.0,0.0,0.0,0.0,0.0,0.0
370630020072,0.0,0.0,0.0,0.0,0.0,0.0
370630020073,0.0,0.0,0.0,0.0,0.0,0.0
370630020081,0.0,0.0,0.0,0.0,0.0,0.0
370630020082,0.0,0.0,0.0,0.0,0.0,0.0
370630020091,0.0,0.0,0.0,0.0,0.0,0.0
370630020092,0.0,0.0,0.0,0.0,0.0,0.0
370630020093,0.0,0.0,0.0,0.0,0.0,0.0
370630020131,0.0,0.0,0.0,0.0,0.0,0.0
370630020132,0.0,0.0,0.0,0.0,0.0,0.0
370630020133,0.0,0.0,0.0,0.0,0.0,0.0
370630020151,0.0,0.0,0.0,0.0,0.0,0.0
370630020152,0.0,0.0,0.0,0.0,0.0,0.0
370630020153,0.0,0.0,0.0,0.0,0.0,0.0
370630020161,0.0,0.0,0.0,0.0,0.0,0.0
370630020162,0.0,0.0,0.0,0.0,0.0,0.0
370630020171,0.0,0.0,0.0,0.0,0.0,0.0
370630020172,0.0,0.0,0.0,0.0,0.0,0.0
370630020173,0.0,0.0,0.0,0.0,0.0,0.0
370630020181,0.0,0.0,0.0,0.0,0.0,0.0
370630020182,0.0,0.0,0.0,0.0,0.0,0.0
370630020183,0.0,0.0,0.0,0.0,0.0,0.0
370630020191,0.0,0.0,0.0,0.0,0.0,0.0
370630020192,0.0,0.0,0.0,0.0,0.0,0.0
370630020193,0.0,0.0,0.0,0.0,0.0,0.0
370630020201,0.0,0.0,0.0,0.0,0.0,0.0
370630020202,0.0,0.0,0.0,0.0,0.0,0.0
370630020211,0.0,0.0,0.0,0.0,0.0,0.0
370630020212,0.0,0.0,0.0,0.0,0.0,0.0
370630020221,0.0,0.0,0.0,0.0,0.0,0.0
370630020222,0.0,0.0,0.0,0.0,0.0,0.0
370630020231,0.0,0.0,0.0,0.0,0.0,0.0
370630020232,0.0,0.0,0.0,0.0,0.0,0.0
370630020241,0.0,0.0,0.0,0.0,0.0,0.0
370630020242,0.0,0.0,0.0,0.0,0.0,0.0
370630020243,0.0,0.0,0.0,0.0,0.0,0.0
370630020251,0.0,0.0,0.0,0.0,0.0,0.0
370630020252,0.0,0.0,0.0,0.0,0.0,0.0
370630020253,0.0,0.0,0.0,0.0,0.0,0.0
370630020261,0.0,0.0,0.0,0.0,0.0,0.0
370630020262,0.0,0.0,0.0,0.0,0.0,0.0
370630020271,0.0,0.0,0.0,0.0,0.0,0.0
370630020272,0.0,0.0,0.0,0.0,0.0,0.0
370630020273,0.0,0.0,0.0,0.0,0.0,0.0
370630020281,0.0,0.0,0.0,0.0,0.0,0.0
370630020282,0.0,0.0,0.0,0.0,0.0,0.0
370630020283,0.0,0.0,0.0,0.0,0.0,0.0
370630021001,0.0,0.0,0.0,0.0,0.0,0.0
370630021002,0.0,0.0,0.0,0.0,0.0,0.0
370630021003,0.0,0.0,0.0,0.0,0.0,0.0
370630022001,0.0,0.0,0.0,0.0,0.0,0.0
370630023001,0.0,0.0,0.0,0.0,0.0,0.0
370630023002,0.0,0.0,0.0,0.0,0.0,0.0
370639801001,0.0,0.0,0.0,0.0,0.0,0.0
