trtid10,hinc16,hincw16,hincb16,hincn16,hinca16,hincp16,hinco16,hincm16,hinch16,hinc16a17,hincw16a17,hincb16a17,hincn16a17,hinca16a17,hincp16a17,hinco16a17,hincm16a17,hinch16a17,meansp1517,minsp1517,maxsp1517,mediansp1517,stddevsp1517,totsp1517,nums1517,meansp1517a17,minsp1517a17,maxsp1517a17,mediansp1517a17,totsp1517a17,pir1517
37063001707,66915.0,68803,76384,NaN,105568,NaN,NaN,50740,NaN,68284.9785983188,70211.63240678665,77947.84136970759,,107729.33752771904,,,51778.821102573354,,309020.0,20000.0,2375000.0,233639.0,275431.3853448804,111556367.0,361.0,315346.69485843944,20409.46831004074,2423624.3618173376,238422.38832448042,113840306.85348873,3.4915788687140403
37063001708,55563.0,NaN,59476,NaN,78125,NaN,76655,NaN,63125,56700.56438553968,,60693.67686039915,,79724.48558609663,,78224.38966530864,,64417.384353566085,147853.0,3404.0,232000.0,160000.0,49951.93512768049,24691531.0,167.0,150880.05590222267,3473.691506368934,236749.83239647257,163275.7464803259,25197050.973544426,2.8796141317063513
37063001709,26636.0,22358,28015,NaN,NaN,NaN,45292,NaN,NaN,27181.329895312258,22815.744623794544,28588.562735289564,,,,46219.28193491826,,,116996.0,1600.0,675000.0,82500.0,128272.4856467668,17432456.0,149.0,119391.30772007632,1632.7574648032592,688819.555463875,84189.05677891805,17789357.91490898,3.097311908694999
37063001710,45106.0,51292,37500,NaN,84932,NaN,31548,48750,40088,46029.473879634876,52342.12242793048,38267.75308132639,,86670.848125419,,32193.89531225826,49748.0790057243,40908.73828064566,161102.0,22000.0,631000.0,164750.0,58864.948823557126,24809730.0,154.0,164400.30818420916,22450.415141044814,643918.7251817853,168122.9952039606,25317669.91078335,3.6525074269498514
37063001711,36565.0,40781,36027,NaN,NaN,NaN,27083,35893,31766,37313.61043783198,41615.92635758857,36764.59574029189,,,,27637.481512041668,36627.852302614614,32416.358516837707,160140.0,55000.0,800000.0,133000.0,121444.29310181686,5284622.0,33.0,163418.6127584962,56126.03785261203,816378.7324016296,135722.96426177092,5392816.261977206,3.6373581293586765
37063001801,59271.0,54331,61920,NaN,NaN,NaN,78649,NaN,60408,60484.47981022123,55443.34113764117,63187.71388788613,,,,80259.21365581971,,61644.75808364705,151163.0,2000.0,476000.0,140000.0,85587.36745571744,64697795.0,428.0,154257.8229075344,2040.9468310040738,485745.3457789696,142866.27817028516,66022379.83910061,2.362032022405561
37063001802,41784.0,40347,47667,NaN,NaN,NaN,70476,NaN,40962,42639.46119333711,41173.04089526069,48642.90629673559,,,,71918.88443092156,,41800.63204579444,119253.0,10000.0,1053000.0,109500.0,121016.8388985599,25758669.0,216.0,121694.51621886442,10204.73415502037,1074558.506523645,111741.83899747305,26286036.933216438,2.6206203331418725
37063001806,59272.0,50294,68587,NaN,NaN,NaN,NaN,NaN,58804,60485.500283636735,51323.68995925945,69991.2101490382,,,,,,60007.91872518178,190283.0,2320.0,816000.0,182750.0,84746.38227086747,86769243.0,456.0,194178.7429219741,2367.498323964726,832706.3070496621,186491.51668299726,88545705.7647362,3.083243352679174
37063001807,58116.0,51992,63299,NaN,47171,NaN,NaN,78144,31789,59305.83301531638,53056.453818781905,64594.94672786344,,48136.751482646585,,,79743.87458099118,32439.82940539425,156923.0,500.0,355000.0,158000.0,47836.568574679346,66692558.0,425.0,160135.74978082615,510.23670775101846,362268.06250322313,161234.79964932185,68057982.4508277,2.7187005299745337
37063001808,90238.0,87805,104815,NaN,66538,NaN,60446,NaN,61955,92085.48006807281,89602.66824815636,106960.921045846,,67900.26012067453,,61683.536073436124,,63223.4304574287,408860.0,2428.0,2075000.0,289000.0,377429.5036745273,592030274.0,1448.0,417230.76066216285,2477.7094528389457,2117482.3371667266,294916.81708008866,604151155.7893867,3.2026419025244355
