trtid10,hinc16,hincw16,hincb16,hincn16,hinca16,hincp16,hinco16,hincm16,hinch16,hinc16a17,hincw16a17,hincb16a17,hincn16a17,hinca16a17,hincp16a17,hinco16a17,hincm16a17,hinch16a17,meansp1517,minsp1517,maxsp1517,mediansp1517,stddevsp1517,totsp1517,nums1517,meansp1517a17,minsp1517a17,maxsp1517a17,mediansp1517a17,totsp1517a17,pir1517
37063002013,69641.0,69713,70987,NaN,145250,NaN,NaN,NaN,NaN,71066.78912897735,71140.26321489351,72440.3463462431,,148223.76360167086,,,,,217705.9,75000.0,631000.0,215000.0,59949.28,43758886.0,201.0,222163.0833479449,76535.50616265277,643918.7251817853,219401.78433293794,44654779.85498427,3.0872618141611983
37063002015,42284.0,47188,31374,NaN,NaN,NaN,NaN,NaN,41103,43149.69790108813,48154.09953071012,32016.33293796091,,,,,,41944.518797380224,227588.54,2000.0,790000.0,208000.0,102670.81,21848500.0,96.0,232248.05474292196,2040.9468310040738,806173.9982466092,212258.4704244237,22295813.418596253,4.919118342635512
37063002016,35489.0,38000,32235,NaN,41315,NaN,85153,45714,31827,36215.581042751786,38777.98978907741,32894.960548708164,,42160.85916146666,,86896.37275024495,46649.92171626012,32478.60739518333,291525.0,125000.0,619000.0,259500.0,137259.02,5830500.0,20.0,297493.5124542313,127559.17693775462,631673.0441957609,264812.8513227786,5949870.249084626,7.312124883766801
37063002017,70428.0,70771,51750,NaN,93258,NaN,NaN,NaN,NaN,71869.90170697746,72219.92408849466,52809.49925223041,,95167.30978288896,,,,,380600.0,120000.0,3209000.0,350000.0,233442.27,85635001.0,225.0,388392.18194007524,122456.80986024444,3274699.1903460366,357165.6954257129,87388241.95699035,4.969614357925825
37063002018,84500.0,101211,42134,96607,70769,NaN,NaN,NaN,NaN,86230.00360992212,103283.13485637667,42996.626888762825,98584.87525140529,72217.88314166365,,,,,410878.79,91000.0,3350000.0,340000.0,300461.59,108472000.0,264.0,419290.88218864414,92863.08081068537,3418585.9419318237,346960.9612706926,110692792.32633695,4.023668639053255
37063002019,77102.0,84155,37283,NaN,NaN,NaN,NaN,NaN,NaN,78680.54128203806,85877.94028157392,38046.31035016244,,,,,,,412802.08,30000.0,685000.0,401500.0,117257.62,59443500.0,144.0,421253.5485039451,30614.20246506111,699024.2896188953,409720.07632406784,60660511.474395335,5.207387616404244
37063002020,123225.0,125817,122639,NaN,128750,NaN,NaN,NaN,71190,125747.8366252385,128392.90371821978,125149.83920375431,,131385.95224588725,,,,72647.50244959001,416452.9,5000.0,2508500.0,370500.0,275287.88,229882000.0,552.0,424979.1132587283,5102.367077510185,2559857.56278686,378085.4004435047,234588469.70243925,3.0066950699939134
37063002021,66772.0,73264,54696,NaN,NaN,NaN,NaN,56172,NaN,68139.05089990201,74763.96431334123,55815.81393429941,,,,,57322.03269558042,,279639.18,85000.0,450000.0,285000.0,55210.29,27125000.0,97.0,285364.3491227889,86740.24031767315,459213.03697591665,290834.92341808055,27680341.39549275,4.268256155274666
37063002022,61323.0,76250,50867,NaN,NaN,NaN,NaN,100114,55188,62578.49125883141,77811.09793203032,51908.421226342114,,,,,102163.67551957093,56317.886854726414,236006.41,113000.0,425500.0,233000.0,47500.15,36817000.0,156.0,240838.26729307408,115313.49595173018,434211.4382961167,237770.3058119746,37570769.738538496,3.7995531855910505
37063002023,69238.0,79569,52250,NaN,NaN,NaN,31406,NaN,62361,70655.53834253004,81198.04919808159,53319.73595998143,,,,32048.988087256974,,63637.742664122525,259863.16,25000.0,375000.0,258000.0,53384.82,24687000.0,95.0,265183.4464483523,25511.835387550924,382677.53081326385,263282.14119952556,25192427.208498787,3.726277477685664
37063002024,82101.0,83726,68750,NaN,82072,NaN,NaN,NaN,76346,83781.88788613274,85440.15718632354,70157.54731576504,,83752.29415708318,,,,77909.06337991852,277629.78,29000.0,505000.0,260000.0,75827.68,101612500.0,366.0,283313.8098416791,29593.72904955907,515339.0748285287,265323.0880305296,103692854.93270072,3.166831098281385
37063002025,81420.0,83450,73207,NaN,120761,NaN,NaN,63750,NaN,83086.94549017584,85158.50652364499,74705.79732865762,,123233.39012944148,,,65055.180238254856,,212455.63,500.0,370000.0,221250.0,52292.7,60762311.0,286.0,216805.32238873703,510.23670775101846,377575.1637357537,225779.7431798257,62006323.03996699,2.717391304347826
