geoid00,mgr_phi99,mmoc_phi99,mhi99,mhi99_ah,mfh99,mnhi99,mhi99_w,mhi99_b,mhi99_n,mhi99_a,mhi99_h,mhi99_o,mhi_99_t,mhi99_wnh,mfi99_w,mfi99_b,mfi99_n,mfi99_a,mfi99_h,mfi99_o,mfi99_t,mfi99_wnh,mnfh99
370630010011,33.1,22.2,27727,27727,28409,15625,23125,23214,0,0,37143,75487,49318,17188,34250,23214,0,0,36429,75487,49318,40250,4500
370630010012,34.0,16.8,11563,11563,14667,5924,11154,9464,8750,0,30662,30662,0,8333,25833,14300,8750,0,14750,23036,0,27500,5000
370630010013,27.5,25.3,21964,21964,26208,13971,30750,19306,26250,0,4750,4750,13750,30750,40625,23333,26250,0,48750,48750,13750,40625,25179
370630010021,27.1,18.2,24726,24726,28581,12393,23462,25321,0,0,31912,31985,5714,22411,27857,29625,0,0,31429,31607,5714,28036,10893
370630010022,23.5,13.0,29327,29327,43235,22829,24063,42843,0,0,22031,22031,0,24063,28571,43750,0,0,22031,22031,0,28571,23125
370630010023,17.9,12.4,37500,37500,27500,28571,24375,43456,0,0,23558,12188,28750,27727,22500,27500,0,0,16250,0,0,28977,23472
370630010024,24.6,23.6,23420,23420,21071,18472,19375,22847,0,0,30329,30685,60156,19500,20357,24340,0,0,11452,10887,60156,22721,7063
370630011001,27.9,10.0,16328,16328,21139,7058,21343,12782,0,46250,39063,27143,2500,7212,22269,17125,0,46250,26786,21250,2500,15500,6000
370630011002,30.0,16.4,17206,17206,21955,7119,8125,15441,0,0,39643,38393,0,6786,25000,21250,0,0,36563,37000,0,13750,5536
370630012011,33.2,17.3,18893,18893,20982,11071,84536,18429,0,0,85152,0,0,2500,42955,19718,0,0,42955,0,0,0,2500
370630012021,18.5,22.3,15981,15981,15151,19375,13750,15904,0,0,0,0,48750,13750,13750,15065,0,0,0,0,48750,13750,0
370630013011,37.3,16.7,21419,21419,32083,14087,38750,21182,0,0,0,0,0,38750,38750,31667,0,0,0,0,0,38750,0
370630013012,47.2,37.5,13203,13203,21319,5500,0,12500,0,0,21250,21250,0,0,0,21389,0,0,21250,21250,0,0,0
370630013031,27.8,19.8,25494,25494,28807,15417,0,25291,28750,0,0,0,0,0,0,28807,0,0,0,0,0,0,0
370630013032,21.6,21.1,37875,37875,44306,23864,0,36705,0,0,0,0,38750,0,0,46563,0,0,0,0,38750,0,0
370630013041,27.1,23.5,21567,21567,23438,16607,36094,20357,0,0,32917,27250,0,0,33750,22917,0,0,25250,25375,0,0,0
370630014001,23.3,14.6,21793,21793,23250,19286,0,22120,0,0,0,0,6250,0,0,23550,0,0,0,0,6250,0,0
370630014002,25.3,14.8,16653,16653,15494,18125,22778,16356,0,0,63333,64271,2500,13750,0,15291,0,0,33229,33229,0,0,22778
370630015011,50.0,0.0,4545,4545,21250,4148,7125,2500,0,2500,0,0,0,7125,21250,0,0,0,0,0,0,21250,6688
370630015021,28.6,32.5,23582,23582,27308,19348,22558,19615,48750,30100,25096,27778,26964,22315,28750,26250,0,31696,24583,23698,52614,29773,21089
370630015022,27.3,27.5,20680,20680,27652,17639,25625,11739,38068,27841,31250,45536,2500,22500,33333,16563,26250,30625,29583,45536,0,35804,21743
370630015031,50.0,0.0,8750,8750,0,8750,8750,0,0,0,0,0,0,8750,0,0,0,0,0,0,0,0,8750
370630016011,36.4,19.7,52344,52344,51838,61875,52031,60682,0,0,66250,0,0,51615,51397,60682,0,0,0,0,0,51397,61875
370630016012,27.2,19.0,65263,65263,67813,47750,70938,60625,0,60833,61250,61250,51250,70938,73164,61250,0,60833,61250,61250,51250,73164,48500
370630016013,27.8,16.3,49352,49352,60781,29306,48553,90878,36250,0,0,66250,48750,48553,61319,90878,36250,0,0,66250,48750,61319,29306
370630016031,45.0,15.9,54453,54453,61250,33810,44750,100662,0,0,0,0,0,44750,60417,100662,0,0,0,0,0,60417,33810
370630016032,42.5,19.3,64973,64973,68555,34444,65947,60893,33750,0,0,0,0,65947,69602,68375,33750,0,0,0,0,69602,32344
370630016033,24.5,20.7,56083,56083,60329,19000,57083,50469,0,60250,0,0,0,57083,62143,49444,0,60250,0,0,0,62143,18650
370630016034,23.6,18.5,62202,62202,71058,27083,68077,70469,0,51250,0,0,48750,68077,72292,70469,0,51250,0,0,48750,72292,27083
370630016041,21.0,14.8,84376,84376,86829,56250,85115,58750,0,0,0,0,75487,85115,87368,0,0,0,0,0,75487,87368,55714
370630016042,17.5,16.0,85631,85631,100166,31667,93521,53958,0,0,0,0,0,93521,103343,63125,0,0,0,0,0,103343,31328
370630016043,24.0,16.3,66591,66591,73854,7386,75251,37000,0,0,61250,61250,0,75251,76545,43875,0,0,31250,31250,0,76545,18125
370630017051,21.1,19.5,47500,47500,53816,31167,45167,62083,0,63125,0,0,0,45167,53080,61875,0,51875,0,0,0,53080,29417
370630017052,37.1,21.3,37401,37401,58333,23060,35987,92622,0,68750,0,0,0,35987,50714,97678,0,56250,0,0,0,50714,22845
370630017053,21.6,20.7,38854,38854,40714,34167,38966,37788,0,51250,39792,39792,0,38966,50156,39423,0,0,39792,39792,0,50156,34464
370630017061,26.5,21.5,42398,42398,58750,28733,46583,30750,0,33958,30147,29519,43000,47056,61793,56607,0,48125,36563,16250,0,61793,35469
370630017071,33.4,17.1,60963,60963,74531,31328,60909,57361,0,61125,0,0,61250,60909,80451,55833,0,60250,0,0,51250,80451,30625
370630017072,13.7,17.5,75130,75130,81997,48047,77828,56250,46250,46250,28750,0,28750,77828,83899,74167,46250,46250,28750,0,28750,83899,48125
370630017073,23.9,16.9,48672,48672,64028,34489,47969,63906,0,0,0,0,0,47969,63750,77500,0,0,0,0,0,63750,34091
370630017081,26.0,19.3,39833,39833,54375,18333,10387,50323,0,0,58750,58750,31667,10387,39306,54018,0,0,58750,58750,56250,39306,9412
370630017091,28.6,26.3,35781,35781,37109,14706,18750,37679,0,0,0,0,13750,18750,18750,37679,0,0,0,0,0,18750,0
370630017092,24.8,22.9,40893,40893,39688,11875,0,39904,0,0,0,0,102264,0,0,39375,0,0,0,0,102264,0,0
370630017093,28.1,30.7,21955,21955,29375,14722,19600,22051,0,0,30536,30536,13750,19600,22500,30313,0,0,30536,30536,0,22500,17197
370630017101,28.6,20.5,43750,43750,47826,31900,46829,32440,38750,65156,44219,0,44219,46829,52321,35729,38750,0,44219,0,44219,52321,30341
370630017102,21.5,24.1,45691,45691,50221,34773,40750,48333,26964,46250,37500,53750,33750,40750,50882,53984,26964,46250,25000,28750,33750,50882,27266
370630017111,28.3,14.2,33854,33854,42411,26795,41563,30089,0,24464,18750,18750,0,41563,47639,36406,0,0,18750,18750,0,47639,26696
370630017112,23.4,19.2,37328,37328,39583,32019,36295,40598,31250,26875,64375,66875,0,35625,51136,37500,31250,31250,65250,65750,0,50682,31250
370630017113,28.8,23.8,35794,35794,48320,29803,41136,32000,0,40156,27708,0,25547,41477,51607,45536,0,0,27708,0,21750,52143,31207
370630018011,16.1,16.1,53516,53516,59750,48750,48214,65417,0,53750,0,0,0,48214,62344,55682,0,0,0,0,0,62344,41917
