geoid10,meansp1517,minsp1517,maxsp1517,mediansp1517,stddevsp1517,totsp1517,nums1517
370630020183,386126.0,47500.0,1170000.0,348000.0,201497.5912387044,68344395.0,177.0
370630020191,558868.0,375000.0,660000.0,575000.0,79093.4472064532,10618500.0,19.0
370630020192,519893.0,114500.0,685000.0,520500.0,149845.97730336306,53549000.0,103.0
370630020193,317729.0,30000.0,495000.0,323500.0,63633.91601968246,23512000.0,74.0
370630020201,530534.0,139500.0,4150000.0,333500.0,763560.5539025703,68439000.0,129.0
370630020202,506493.0,5000.0,2508500.0,400000.0,446962.16670653457,315039153.0,622.0
370630020211,266775.0,80000.0,450000.0,277250.0,61916.128448086936,21342000.0,80.0
370630020212,292596.0,200000.0,400000.0,297500.0,53931.07067359223,7607500.0,26.0
370630020221,213256.0,120000.0,277000.0,220000.0,34203.50701317045,8317000.0,39.0
370630020222,238918.0,5000.0,425500.0,233500.0,53067.41278788707,32015075.0,134.0
370630020231,250615.0,25000.0,375000.0,247250.0,52167.39791287275,13032000.0,52.0
370630020232,266964.0,153000.0,360000.0,265000.0,53072.719932183616,13615172.0,51.0
370630020241,322530.0,29000.0,1346000.0,275000.0,216127.53222576712,108047667.0,335.0
370630020242,223570.0,124000.0,330000.0,221500.0,41812.99597015263,11178500.0,50.0
370630020243,253437.0,206000.0,320000.0,239500.0,32310.75755843555,6082500.0,24.0
370630020251,209119.0,500.0,331000.0,225000.0,57409.81200979498,36386811.0,174.0
370630020252,215276.0,20000.0,325000.0,230000.0,60661.185745087445,20881820.0,97.0
370630020253,173051.0,76000.0,370000.0,174179.0,46343.16843937195,10036969.0,58.0
370630020261,133143.0,10000.0,250000.0,134000.0,49562.58037067884,11050879.0,83.0
370630020262,202935.0,45000.0,391500.0,174000.0,98276.61411546492,10146750.0,50.0
370630020271,743652.0,20000.0,2760000.0,259250.0,1024846.1990557412,182938460.0,246.0
370630020272,222663.0,114801.0,745000.0,212000.0,65048.68290749629,25606301.0,115.0
370630020273,nan,nan,nan,nan,nan,nan,nan
370630020281,311037.0,6000.0,587500.0,319500.0,102204.4451185955,116639000.0,375.0
370630020282,438812.0,410000.0,482500.0,431500.0,29585.152526225043,3510500.0,8.0
370630020283,260413.0,70500.0,627500.0,275750.0,105401.9627568671,44270264.0,170.0
370630021001,392358.0,4000.0,2537500.0,340000.0,286928.02707473526,41982325.0,107.0
370630021002,259197.0,30500.0,460000.0,292500.0,107884.37039256428,11145500.0,43.0
370630021003,298012.0,56500.0,750000.0,279000.0,139453.42021621414,11622500.0,39.0
370630022001,291957.0,53000.0,975500.0,170000.0,251338.74711034907,9050675.0,31.0
370630023001,184658.0,10000.0,440000.0,181000.0,119906.20544408867,19758500.0,107.0
370630023002,68666.0,11000.0,130000.0,65000.0,59584.67364180155,206000.0,3.0
370639801001,nan,nan,nan,nan,nan,nan,nan
