id,meansp9800,minsp9800,maxsp9800,mediansp9800,stddevsp9800,totsp9800,nums9800,mhi99,pir9800,mgr_phi99,mmoc_phi99
370630006002,168599.0,10000.0,322000.0,163000.0,79212.68320161867,18714500.0,111.0,47000.0,3.4680851063829787,24.8,13.6
370630010011,55357.0,18000.0,180000.0,55750.0,28135.83897807208,2325000.0,42.0,27727.0,2.0106755148411297,33.1,22.2
370630012011,61895.0,9500.0,190500.0,48000.0,54049.69113695285,1485500.0,24.0,18893.0,2.5406235113534112,33.2,17.3
370630018054,166978.0,3500.0,292000.0,177000.0,57432.04461796567,15529000.0,93.0,68750.0,2.5745454545454547,37.5,22.5
370630019001,151733.0,60000.0,375000.0,123000.0,95021.21316842886,2276000.0,15.0,41467.0,2.966214097957412,23.4,15.2
370630005004,43815.0,6500.0,138000.0,31500.0,33237.76365822466,1665000.0,38.0,22847.0,1.3787368144614172,26.8,29.8
370630018022,82646.0,5000.0,180000.0,94000.0,36572.34619217094,12479555.0,151.0,36989.0,2.5412960609911055,29.3,18.6
370630010023,64775.0,17000.0,180000.0,64000.0,31620.118532352157,1878500.0,29.0,37500.0,1.7066666666666668,17.9,12.4
370630012021,39600.0,17500.0,79000.0,26000.0,25969.693875746783,198000.0,5.0,15981.0,1.6269319817283023,18.5,22.3
370630010012,69336.0,19000.0,410500.0,59500.0,62110.65291075276,3397500.0,49.0,11563.0,5.145723428176079,34.0,16.8
370630020172,184121.0,20000.0,540000.0,186500.0,105333.58417902619,15098000.0,82.0,70833.0,2.6329535668403143,36.4,16.6
370630011002,49387.0,4000.0,85000.0,58000.0,23244.96706816338,1531000.0,31.0,17206.0,3.370917121934209,30.0,16.4
370630007002,184473.0,10000.0,550000.0,167000.0,118646.04676937195,13835500.0,75.0,65238.0,2.5598577516171557,32.5,16.3
370630006001,110555.0,24000.0,290000.0,100500.0,41776.86757046296,17578316.0,159.0,45536.0,2.207044975404076,25.7,18.2
370630010013,48292.0,1000.0,410500.0,39000.0,47646.17239611174,4008308.0,83.0,21964.0,1.7756328537606993,27.5,25.3
370630014002,56511.0,5100.0,190500.0,55000.0,37770.27114014407,2090936.0,37.0,16653.0,3.3027082207410077,25.3,14.8
370630007003,146628.0,16000.0,465000.0,147000.0,90868.21481684339,18768500.0,128.0,55833.0,2.6328515394121754,24.6,18.1
370630013012,54400.0,5000.0,135000.0,55500.0,38652.388567849215,816000.0,15.0,13203.0,4.203590093160646,47.2,37.5
370630013031,64637.0,8000.0,175000.0,65000.0,39153.97637533128,1874500.0,29.0,25494.0,2.5496195183180355,27.8,19.8
370630020151,119045.0,5000.0,265000.0,124000.0,33958.921257896276,14404500.0,121.0,48287.0,2.567978959140141,24.7,20.3
370630020091,72659.0,5000.0,123000.0,80000.0,34662.83348198759,3415000.0,47.0,36840.0,2.1715526601520088,32.5,23.6
370630018053,100648.0,17000.0,259000.0,109000.0,56219.391565544356,4428540.0,44.0,49732.0,2.1917477680366764,15.5,14.6
370630013032,62336.0,2900.0,191000.0,54500.0,42285.63355325305,1371400.0,22.0,37875.0,1.438943894389439,21.6,21.1
370630014001,58235.0,19000.0,137000.0,55000.0,30240.245137895294,990000.0,17.0,21793.0,2.5237461570228974,23.3,14.6
370630020092,79354.0,26000.0,270000.0,70000.0,46089.86563226237,2539335.0,32.0,39643.0,1.7657594026688193,24.0,22.8
370630020141,106959.0,10000.0,301500.0,109000.0,42926.19598799782,14653500.0,137.0,45643.0,2.3880989417873497,22.0,19.2
370630013041,63698.0,1000.0,120000.0,74000.0,23021.62978592089,4012987.0,63.0,21567.0,3.4311679881300132,27.1,23.5
370630020093,76642.0,7500.0,137000.0,77500.0,36937.2830619687,3985400.0,52.0,42070.0,1.8421678155455194,27.8,22.6
370630020071,137895.0,12500.0,245500.0,147000.0,43641.772466296556,14479000.0,105.0,59107.0,2.487015074356675,20.8,17.5
370630020161,113176.0,24000.0,234000.0,126750.0,54885.815672175275,3848000.0,34.0,30757.0,4.121013102708327,26.1,24.2
370630018051,81013.0,9000.0,158000.0,85000.0,34043.984299726144,2997500.0,37.0,39083.0,2.174858634188778,22.9,20.6
370630020072,188795.0,54000.0,887000.0,151000.0,127037.5809790158,13404500.0,71.0,59375.0,2.5431578947368423,23.4,21.1
370630020182,171512.0,14500.0,400000.0,155000.0,75215.81606284679,40477000.0,236.0,62625.0,2.475049900199601,26.6,19.6
370630020073,140910.0,25000.0,322500.0,127000.0,54437.16964538109,5777323.0,41.0,68438.0,1.855694204973845,25.3,19.3
370630020101,76125.0,14000.0,139000.0,70500.0,45936.77720519802,913500.0,12.0,38500.0,1.8311688311688312,25.5,19.1
370630020081,296651.0,37000.0,1800000.0,261000.0,228270.22260470162,25512000.0,86.0,162716.0,1.604021731114334,22.5,13.6
370630020181,158388.0,24000.0,242000.0,165750.0,44842.87732739727,8553000.0,54.0,57206.0,2.8974233472013426,28.8,14.0
370630020103,200205.0,200.0,812500.0,136500.0,189206.11216871405,97900646.0,489.0,48281.0,2.8271991052380856,43.8,22.4
370630020082,267000.0,63000.0,700000.0,231250.0,150701.21811717382,24564000.0,92.0,89874.0,2.573046709838218,17.7,15.5
370630020102,122405.0,24000.0,224000.0,125000.0,29329.84405004568,16157463.0,132.0,59167.0,2.1126641540047664,22.7,20.9
370630020113,273133.0,16000.0,812500.0,174500.0,208206.42589267032,237079447.0,868.0,76744.0,2.2737933910142814,21.9,20.5
370630018052,131538.0,11500.0,292500.0,138000.0,40409.8957063737,13680000.0,104.0,55000.0,2.5090909090909093,23.6,18.3
370630020142,,,,,,,,43077.0,,21.0,0.0
