id,pop_13,pop_14,ptwhnl_13,ptwhnl_14,ptblknl_13,ptblknl_14,ptasnl_13,ptasnl_14,ptothnl_13,ptothnl_14,ptlat_13,ptlat_14
370630016031,638,638,71.8,71.8,17.2,17.2,1.1,1.1,1.3,1.3,8.6,8.6
370630016032,2624,2624,58.6,58.6,25,25,7.6,7.6,2.9,2.9,5.9,5.9
370630016033,1227,1227,77.8,77.8,12.6,12.6,2,2,2.3,2.3,5.4,5.4
370630016034,1782,1782,87.3,87.3,6.4,6.4,0.9,0.9,2.4,2.4,3,3
370630016041,1979,1979,79.1,79.1,11.3,11.3,3.2,3.2,2.4,2.4,3.9,3.9
370630016042,2842,2842,83.1,83.1,12.1,12.1,1.2,1.2,1.3,1.3,2.3,2.3
370630016043,1824,1824,58.5,58.5,28.8,28.8,4.8,4.8,1.8,1.8,6.1,6.1
370630017051,1611,1611,54.3,54.3,27.1,27.1,2.5,2.5,2.3,2.3,13.8,13.8
370630017052,1535,1535,70.1,70.1,17.5,17.5,3.7,3.7,2,2,6.8,6.8
370630017053,1373,1373,42.9,42.9,35.3,35.3,4.1,4.1,3.3,3.3,14.5,14.5
370630017061,2310,2310,61.8,61.8,20.5,20.5,8.4,8.4,2.9,2.9,6.5,6.5
370630017062,1869,1869,54.4,54.4,25.3,25.3,7.1,7.1,2.7,2.7,10.6,10.6
370630017071,1068,1068,80.6,80.6,7.9,7.9,2.5,2.5,1.7,1.7,7.3,7.3
370630017072,1601,1601,79.5,79.5,10.5,10.5,2.6,2.6,2.7,2.7,4.8,4.8
370630017073,627,627,85,85,5.4,5.4,4.3,4.3,0.8,0.8,4.5,4.5
370630017074,1744,1744,81.7,81.7,9,9,2.8,2.8,1.5,1.5,5.1,5.1
370630017075,1445,1445,88,88,3.3,3.3,5.4,5.4,0.8,0.8,2.6,2.6
370630017081,3989,3989,10.4,10.4,76.9,76.9,1.5,1.5,2.9,2.9,8.2,8.2
370630017091,971,971,3.6,3.6,81.3,81.3,0.6,0.6,1.6,1.6,12.9,12.9
370630017092,975,975,0.5,0.5,93.2,93.2,0,0,1.1,1.1,5.1,5.1
370630017093,4163,4163,17.2,17.2,67.3,67.3,1,1,2.3,2.3,12.1,12.1
370630017101,2581,2581,36.4,36.4,43,43,5.2,5.2,3.1,3.1,12.3,12.3
370630017102,2124,2124,14.6,14.6,36.1,36.1,1.1,1.1,3.2,3.2,45,45
370630017111,1305,1305,29.1,29.1,37.3,37.3,1.5,1.5,2.5,2.5,29.6,29.6
370630017112,1616,1616,14.8,14.8,52.7,52.7,1.2,1.2,2.3,2.3,29,29
370630017113,1582,1582,25.5,25.5,50.4,50.4,2.1,2.1,2.1,2.1,19.8,19.8
370630018011,1890,1890,26.8,26.8,56.3,56.3,0.4,0.4,2.8,2.8,13.7,13.7
370630018012,658,658,30.2,30.2,41.2,41.2,0.2,0.2,2,2,26.4,26.4
370630018013,2550,2550,19.9,19.9,61.4,61.4,0.5,0.5,1.6,1.6,16.7,16.7
370630018014,1279,1279,32.9,32.9,40,40,0.4,0.4,1.6,1.6,25.1,25.1
370630018015,746,746,65.8,65.8,18.5,18.5,0.3,0.3,2.4,2.4,13,13
370630018021,2033,2033,11.7,11.7,63.7,63.7,0.4,0.4,2.4,2.4,21.8,21.8
370630018022,1629,1629,7.4,7.4,57.6,57.6,0.2,0.2,2.3,2.3,32.5,32.5
370630018023,2176,2176,9,9,74.4,74.4,0.9,0.9,2.3,2.3,13.4,13.4
370630018024,898,898,15.9,15.9,54.6,54.6,0.4,0.4,1.8,1.8,27.3,27.3
370630018061,1742,1742,82.5,82.5,8.9,8.9,0.3,0.3,0.7,0.7,7.6,7.6
370630018062,3930,3930,23.4,23.4,63,63,0.8,0.8,2.1,2.1,10.7,10.7
370630018071,3266,3266,26.7,26.7,44.6,44.6,1.4,1.4,2.2,2.2,25,25
370630018072,3450,3450,26.7,26.7,59.9,59.9,2.1,2.1,2.6,2.6,8.7,8.7
370630018073,2700,2700,13.4,13.4,72.4,72.4,0.9,0.9,2.3,2.3,10.9,10.9
370630018081,2080,2080,42.8,42.8,42.1,42.1,2.8,2.8,2.7,2.7,9.6,9.6
370630018082,2966,2966,49.9,49.9,29.1,29.1,3.8,3.8,2.4,2.4,14.8,14.8
370630018091,2484,2484,38.7,38.7,44.1,44.1,2.5,2.5,3.1,3.1,11.6,11.6
370630018092,2664,2664,52,52,34.4,34.4,2.2,2.2,2.4,2.4,9.1,9.1
370630019001,729,729,83.4,83.4,5.2,5.2,2.5,2.5,1.1,1.1,7.8,7.8
370630019002,2118,2118,76.8,76.8,12.2,12.2,3.5,3.5,1.9,1.9,5.6,5.6
370630020071,1732,1732,66.6,66.6,24.7,24.7,2.7,2.7,1.2,1.2,4.9,4.9
370630020072,2306,2306,57.5,57.5,29,29,4.1,4.1,3,3,6.4,6.4
370630020073,816,816,36.6,36.6,51.3,51.3,2.6,2.6,3.7,3.7,5.8,5.8
370630020081,960,960,91.9,91.9,3,3,1.5,1.5,1.5,1.5,2.2,2.2
370630020082,1947,1947,82.3,82.3,8.7,8.7,4.1,4.1,1.5,1.5,3.4,3.4
370630020091,1904,1904,1.8,1.8,79,79,0.1,0.1,1.9,1.9,17.2,17.2
370630020092,1119,1119,1.4,1.4,83.8,83.8,0,0,2,2,12.8,12.8
370630020093,1662,1662,2.1,2.1,88.6,88.6,0.5,0.5,1.4,1.4,7.3,7.3
370630020131,1553,1553,49.8,49.8,34.7,34.7,1.9,1.9,2.6,2.6,10.9,10.9
370630020132,898,898,56.9,56.9,26.5,26.5,3.9,3.9,4.3,4.3,8.4,8.4
370630020133,2030,2030,60.4,60.4,19.8,19.8,6.7,6.7,3.3,3.3,9.8,9.8
370630020151,2253,2253,28.1,28.1,27.3,27.3,2.1,2.1,2.2,2.2,40.2,40.2
370630020152,2183,2183,31.4,31.4,30.5,30.5,7.7,7.7,3.5,3.5,27,27
370630020153,691,691,77.7,77.7,7.7,7.7,9.4,9.4,1.3,1.3,3.9,3.9
370630020161,3228,3228,19.1,19.1,27.9,27.9,8,8,2.2,2.2,42.8,42.8
370630020162,2156,2156,31.6,31.6,30.3,30.3,8.3,8.3,2.6,2.6,27.1,27.1
370630020171,2308,2308,81.4,81.4,5.7,5.7,7,7,2.7,2.7,3.2,3.2
370630020172,1339,1339,79.7,79.7,6.9,6.9,7.9,7.9,2.2,2.2,3.2,3.2
370630020173,3007,3007,71.4,71.4,8.4,8.4,12.4,12.4,2.1,2.1,5.7,5.7
370630020181,2327,2327,83.1,83.1,7.3,7.3,3.7,3.7,1.4,1.4,4.6,4.6
370630020182,2701,2701,59.1,59.1,20.5,20.5,9.4,9.4,3.6,3.6,7.6,7.6
370630020183,2455,2455,72,72,11.3,11.3,7.2,7.2,3.5,3.5,6,6
370630020191,1399,1399,60.9,60.9,24.2,24.2,5.4,5.4,3.5,3.5,6.1,6.1
370630020192,1536,1536,74.9,74.9,6.9,6.9,10.6,10.6,3,3,4.6,4.6
370630020193,1473,1473,86.5,86.5,5.3,5.3,4.1,4.1,1.6,1.6,2.6,2.6
370630020201,2032,2032,67,67,12.8,12.8,13.3,13.3,3.4,3.4,3.5,3.5
370630020202,3862,3862,56.5,56.5,28.7,28.7,8.4,8.4,3,3,3.4,3.4
370630020211,3016,3016,55.8,55.8,25.3,25.3,11.2,11.2,2.8,2.8,4.9,4.9
370630020212,1416,1416,29.5,29.5,46.4,46.4,10.2,10.2,2.9,2.9,11,11
370630020221,1822,1822,41.1,41.1,42,42,7.5,7.5,2.7,2.7,6.8,6.8
370630020222,2485,2485,52.2,52.2,28.2,28.2,5.5,5.5,3.1,3.1,11,11
370630020231,1195,1195,62.6,62.6,25,25,2.9,2.9,3.3,3.3,6.2,6.2
370630020232,1613,1613,58.2,58.2,27.9,27.9,6.8,6.8,3.3,3.3,3.8,3.8
370630020241,3582,3582,62.6,62.6,18,18,10.2,10.2,3.4,3.4,5.9,5.9
