id,meansp1314,meansp1314a17,minsp1314,minsp1314a17,maxsp1314,maxsp1314a17,mediansp1314,mediansp1314a17,stddevsp1314,stddevsp1314a17,totsp1314,totsp1314a17,nums1314,mhi1314,mhi1314a17,pir1314,mean_sfno100517,tot_sfno100517,num_sfno100517,mean_sfoo100517,tot_sfoo100517,num_sfoo100517,prc_sfno100517,pop13,pop14,ptwhnl13,ptwhnl14,ptblknl13,ptblknl14,ptasnl13,ptasnl14,ptothnl13,ptothnl14,ptlat13,ptlat14,meansp1517,meansp1517a17,minsp1517,minsp1517a17,maxsp1517,maxsp1517a17,mediansp1517,mediansp1517a17,stddevsp1517,stddevsp1517a17,totsp1517,totsp1517a17,nums1517,mhi16,mhi16a17,pir1517,mgr_phi16,mmoc_phi16,mean_sfno011818,tot_sfno011818,num_sfno011818,mean_sfoo011818,tot_sfoo011818,num_sfoo011818,prc_sfno011818,pop16,ptwhnl16,ptblknl16,ptnanl16,ptasnl16,ptpanl16,ptothnl16,pt2mnl16,ptlat16
370630005004,107211.00,110421.49,2500.00,2574.86,355000.00,365630.66,103500.00,106599.36,79317.78,81692.99,2465865.00,2539706.61,23.00,19080.00,19651.36,5.42,115746.31,1504702.00,13.00,130231.51,16669633.00,128.00,9.22,1065,1065,6.40,6.40,71.00,71.00,0.20,0.20,3.20,3.20,19.20,19.20,141690.00,144590.88,24000.00,24491.36,360000.00,367370.43,95250.00,97200.09,106553.79,108735.31,5667600.00,5783635.13,40.00,34554.00,35261.44,2.76,38.70,23.00,102172.47,1532587.00,15.00,128687.66,16858083.00,131.00,10.27,1191,13.69,64.90,0.00,0.00,0.00,0.00,0.00,21.41
370630006001,182250.00,187707.57,20000.00,20598.91,570000.00,587068.95,166000.00,170970.96,101519.77,104559.83,12028500.00,12388699.71,66.00,54084.50,55704.09,3.07,192450.24,9622512.00,50.00,227014.12,111236920.00,490.00,9.26,2431,2431,41.80,41.80,35.30,35.30,1.90,1.90,3.40,3.40,17.70,17.70,245498.00,250524.18,47000.00,47962.25,660000.00,673512.45,230000.00,234708.89,117720.87,120131.01,27986801.00,28559786.41,114.00,41591.00,42442.51,5.53,30.10,17.60,187008.52,8976409.00,48.00,226241.28,112441918.00,497.00,8.81,2989,39.55,38.11,0.00,5.29,0.00,0.00,7.83,9.23
370630006002,269354.00,277419.95,12000.00,12359.35,795000.00,818806.69,258000.00,265725.94,171683.58,176824.74,8350000.00,8600045.11,31.00,43258.50,44553.90,5.96,208882.47,3133237.00,15.00,294373.91,93022156.00,316.00,4.53,2228,2228,34.40,34.40,17.50,17.50,3.40,3.40,1.30,1.30,43.30,43.30,352456.00,359671.98,27000.00,27552.78,950000.00,969449.74,321000.00,327571.97,191399.81,195318.42,16213000.00,16544935.49,46.00,32184.00,32842.92,9.97,41.40,14.10,202278.00,3236448.00,16.00,294832.77,93167156.00,316.00,4.82,2406,38.03,39.11,0.00,6.86,0.00,0.00,0.58,15.42
370630006003,461416.00,475233.34,267000.00,274995.45,781000.00,804387.45,436000.00,449056.25,145658.27,150020.08,8305500.00,8554212.53,18.00,144365.50,148688.60,3.02,NaN,NaN,NaN,465869.12,93639693.00,201.00,NaN,518,518,84.90,84.90,7.50,7.50,3.50,3.50,1.20,1.20,2.90,2.90,578861.00,590712.26,330000.00,336756.23,1095000.00,1117418.39,482500.00,492378.42,216300.30,220728.70,10419500.00,10632822.75,18.00,110326.00,112584.75,4.37,NaN,21.30,NaN,NaN,NaN,466558.86,93311771.00,200.00,NaN,622,90.35,4.18,0.00,2.41,0.00,0.00,3.06,0.00
370630007001,309766.00,319042.10,44000.00,45317.60,835000.00,860004.51,280500.00,288899.72,211923.41,218269.57,4646500.00,4785641.87,15.00,19281.50,19858.89,14.55,147755.14,1034286.00,7.00,294556.59,24153640.00,82.00,7.87,718,718,51.80,51.80,38.30,38.30,1.50,1.50,2.40,2.40,6.00,6.00,256750.00,262006.55,20500.00,20919.71,523000.00,533707.60,280250.00,285987.67,153261.14,156398.92,4621500.00,4716117.89,18.00,22105.00,22557.56,12.68,25.70,17.50,162314.57,1136202.00,7.00,293159.26,24039059.00,82.00,7.87,909,66.12,26.62,0.00,2.75,0.00,0.00,0.99,3.52
370630007002,333085.00,343059.40,60583.00,62397.19,867500.00,893477.74,313000.00,322372.95,183747.06,189249.46,13989583.00,14408508.37,42.00,69916.50,72010.19,4.48,199238.00,1992380.00,10.00,383162.88,135639659.00,354.00,2.75,1030,1030,72.60,72.60,18.30,18.30,1.80,1.80,2.80,2.80,4.40,4.40,397303.00,405437.15,34000.00,34696.10,1100000.00,1122520.76,355000.00,362268.06,221374.26,225906.54,20262500.00,20677342.58,51.00,59097.00,60306.92,6.01,23.90,15.50,199238.00,1992380.00,10.00,384248.33,135639659.00,353.00,2.75,1475,52.41,39.59,0.00,0.95,0.00,1.56,3.25,2.24
370630007003,271960.00,280103.98,59000.00,60766.79,850000.00,875453.69,250000.00,257486.38,150627.58,155138.20,10334500.00,10643972.00,38.00,66408.00,68396.62,3.76,248073.25,1984586.00,8.00,311719.67,103179210.00,331.00,2.36,1082,1082,47.60,47.60,43.90,43.90,1.60,1.60,2.70,2.70,4.30,4.30,331398.00,338182.85,5000.00,5102.37,850000.00,867402.40,285000.00,290834.92,184809.56,188593.24,22535090.00,22996460.26,68.00,76071.00,77628.43,3.75,50.00,13.20,249538.43,1746769.00,7.00,311779.68,103510853.00,332.00,2.06,1347,45.58,38.16,0.00,5.20,0.00,0.00,1.34,9.73
370630009001,45140.00,46491.74,8000.00,8239.56,129000.00,132862.97,28000.00,28838.47,43900.46,45215.08,586829.00,604401.90,13.00,28682.50,29541.41,0.98,59260.53,1007429.00,17.00,76625.30,4674143.00,61.00,21.79,801,801,4.50,4.50,52.30,52.30,0.00,0.00,1.70,1.70,41.40,41.40,85181.00,86924.95,20000.00,20409.47,217000.00,221442.73,60000.00,61228.40,61469.23,62727.71,2811000.00,2868550.77,33.00,23281.00,23757.64,2.58,43.60,15.00,56658.53,849878.00,15.00,76770.02,4682971.00,61.00,19.74,845,6.51,46.15,0.00,0.00,0.00,0.00,0.00,47.34
370630009002,57554.00,59277.48,5000.00,5149.73,270000.00,278085.29,35000.00,36048.09,62948.04,64833.05,2129500.00,2193268.99,37.00,16479.50,16972.99,2.12,125059.18,2751302.00,22.00,135981.36,14550005.00,107.00,17.05,867,867,3.00,3.00,79.60,79.60,1.00,1.00,2.10,2.10,14.30,14.30,142487.00,145404.20,22000.00,22450.42,1095000.00,1117418.39,92000.00,93883.55,138789.27,141630.76,14391278.00,14685916.61,101.00,26444.00,26985.40,3.48,42.20,31.60,113124.30,2601859.00,23.00,136220.62,14439386.00,106.00,17.83,1154,3.38,80.50,0.00,0.00,0.00,0.00,1.91,14.21
370630010011,70129.00,72229.05,5000.00,5149.73,132000.00,135952.81,68000.00,70036.30,41586.01,42831.32,1893500.00,1950201.85,27.00,29461.50,30343.74,2.31,66707.82,733786.00,11.00,88035.87,11092520.00,126.00,8.03,878,878,9.30,9.30,67.50,67.50,0.00,0.00,1.80,1.80,21.30,21.30,99490.00,101526.90,14000.00,14286.63,339000.00,345940.49,69750.00,71178.02,77564.62,79152.63,5173500.00,5279419.22,52.00,41316.00,42161.88,1.69,19.90,10.00,63406.20,634062.00,10.00,87365.13,11008007.00,126.00,7.35,1296,10.57,53.70,9.26,0.00,0.00,0.00,2.16,24.31
