id,meansp9800,minsp9800,maxsp9800,mediansp9800,totsp9800,nums9800,mhi99,pir9800,mgr_phi99,mmoc_phi99
370630020102,120743.65,4000.00,224000.00,120000.00,29219963.00,242,59167.00,2.03,22.70,20.90
370630020113,166658.86,16000.00,622500.00,160500.00,86495947.00,519,76744.00,2.09,21.90,20.50
370630018052,136250.00,11500.00,292500.00,141500.00,12807500.00,94,55000.00,2.57,23.60,18.30
370630020142,266000.00,266000.00,266000.00,266000.00,266000.00,1,43077.00,6.17,21.00,0.00
370630020111,162800.00,7000.00,239000.00,160750.00,24420000.00,150,57500.00,2.80,24.70,21.50
370630020143,141362.07,95000.00,173500.00,140750.00,8199000.00,58,55625.00,2.53,20.20,19.10
370630020112,163476.92,14000.00,225000.00,164500.00,10626000.00,65,54894.00,3.00,21.10,18.40
370630020123,160508.88,31500.00,374000.00,150750.00,54252000.00,338,54024.00,2.79,23.60,22.40
370630020122,183256.76,29000.00,255000.00,191750.00,13561000.00,74,44950.00,4.27,22.00,19.40
370630020121,206793.10,20000.00,332000.00,212000.00,29985000.00,145,61642.00,3.44,24.00,17.60
370630020131,126318.18,88000.00,245000.00,118000.00,9726500.00,77,70134.00,1.68,18.80,19.30
370630020124,218770.43,17500.00,849000.00,215000.00,91008500.00,416,90123.00,2.39,18.90,20.50
370630020132,116860.47,81500.00,184000.00,116000.00,5025000.00,43,53929.00,2.15,23.00,18.20
370630020133,157646.88,57000.00,215000.00,163500.00,50447000.00,320,75727.00,2.16,28.50,20.60
