id,meansp1314,minsp1314,maxsp1314,mediansp1314,stddevsp1314,totsp1314,nums1314,mhi1314,pir1314
370630019002,205726.0,105000.0,520000.0,186000.0,79389.77396995157,10903500.0,53.0,79196.5,2.348588637124115
370630020071,217127.0,42000.0,430000.0,209500.0,81970.65591417455,11073500.0,51.0,91369.5,2.292887670393293
370630020072,342693.0,40000.0,1850000.0,241500.0,328365.96519889205,12679657.0,37.0,63953.5,3.7761811316034306
370630020073,276283.0,97000.0,1270000.0,250000.0,215259.19584538077,10222500.0,37.0,83633.5,2.9892327835137835
370630020081,782750.0,261000.0,2700000.0,593000.0,623800.9177614282,20351500.0,26.0,138794.0,4.272518984970532
370630020082,395569.0,62552.0,945000.0,349500.0,206941.73060308548,30854452.0,78.0,146672.5,2.38285977262268
370630020091,55833.0,20000.0,126000.0,54000.0,29594.079188243042,837500.0,15.0,37689.5,1.432759787208639
370630020092,77356.0,25000.0,170000.0,55000.0,47215.06232125507,1315056.0,17.0,44474.5,1.2366637061687034
370630020093,73153.0,15000.0,162000.0,74750.0,33393.82901076185,2926144.0,40.0,42500.0,1.7588235294117647
370630020131,170228.0,94000.0,305000.0,153000.0,48522.77092252667,5787765.0,34.0,73965.0,2.0685459338876497
370630020132,150775.0,114000.0,185000.0,153000.0,20181.7237370845,3015500.0,20.0,65742.5,2.3272616648286877
370630020133,182312.0,60000.0,297500.0,187500.0,49344.60419336648,14220400.0,78.0,78138.0,2.399600706442448
370630020151,163607.0,60000.0,257000.0,165500.0,46190.95251236978,6871500.0,42.0,39175.5,4.224579137471124
370630020152,201642.0,105000.0,469500.0,170000.0,90988.7551898585,4234500.0,21.0,33015.5,5.149096636428344
370630020153,,,,,,,,,
370630020161,,,,,,,,,
370630020162,183400.0,155000.0,197000.0,195000.0,18242.806801586208,917000.0,5.0,38033.0,5.127126442825967
370630020171,324306.0,60000.0,980000.0,318250.0,132501.074599416,25944500.0,80.0,103529.5,3.0740030619292087
370630020172,303487.0,2500.0,575000.0,319500.0,101385.74575353283,12139513.0,40.0,79530.5,4.017326685988395
370630020173,282313.0,83000.0,530000.0,271485.0,104161.07137505835,16374160.0,58.0,62107.0,4.371246397346515
370630020181,488335.0,70000.0,1300000.0,482500.0,274276.47536199674,34183500.0,70.0,84881.0,5.6844287885392495
370630020182,300192.0,69000.0,490000.0,340000.0,102472.16437159898,19512500.0,65.0,39530.5,8.600953693983127
370630020183,296642.0,5000.0,650000.0,302000.0,105861.31290041703,30554200.0,103.0,104375.0,2.8934131736526947
370630020191,561954.0,438500.0,620000.0,580000.0,60331.772118842986,6181500.0,11.0,43708.5,13.26973014402233
370630020192,431111.0,30000.0,695000.0,457500.0,155067.21009291426,19400000.0,45.0,53422.0,8.563887536969787
370630020193,313755.0,215000.0,388500.0,321500.0,38546.25647193253,14119000.0,45.0,86057.5,3.735874270110101
370630020201,312554.0,11000.0,1125000.0,294000.0,132013.1635330356,25629500.0,82.0,140693.5,2.0896487755297866
370630020202,359588.0,85000.0,1152000.0,330000.0,155799.2330051724,89178000.0,248.0,109673.0,3.0089447721864087
370630020211,239565.0,30000.0,299000.0,255750.0,60197.416763512374,11020000.0,46.0,42355.0,6.038248140715382
370630020212,246770.0,80000.0,340000.0,262500.0,64021.43747995666,4935410.0,20.0,80540.0,3.2592500620809535
370630020221,168533.0,131500.0,206000.0,162000.0,21362.90731618709,2528000.0,15.0,45662.5,3.547768957021626
370630020222,196721.0,1000.0,312500.0,192250.0,49269.971290837995,13770470.0,70.0,67496.5,2.8482958375619476
370630020231,223318.0,163500.0,295500.0,222000.0,40487.37175959932,4913000.0,22.0,51679.0,4.295748756748389
370630020232,234295.0,153000.0,335000.0,232500.0,47781.16262712744,5154500.0,22.0,80836.5,2.876175984858325
370630020241,255060.0,31875.0,442000.0,235000.0,79925.05261806212,43615375.0,171.0,102255.0,2.298176128306684
370630020242,182466.0,98500.0,277000.0,165000.0,53284.09929800822,2737000.0,15.0,54665.0,3.0183847068508185
370630020243,215645.0,171500.0,301000.0,216250.0,30114.80899823208,5175500.0,24.0,85294.5,2.5353334622982726
370630020251,193318.0,12000.0,291000.0,193000.0,49597.36745029922,25518008.0,132.0,66468.0,2.9036528855990853
370630020252,184582.0,36000.0,352500.0,186500.0,55395.446392280304,12182420.0,66.0,62641.5,2.9772594845270306
