id,meansp1314,meansp1314a17,minsp1314,minsp1314a17,maxsp1314,maxsp1314a17,mediansp1314,mediansp1314a17,totsp1314,totsp1314a17,nums1314,mhi1314,mhi1314a17,pir1314,mean_sfno100517,tot_sfno100517,num_sfno100517,mean_sfoo100517,tot_sfoo100517,num_sfoo100517,prc_sfno100517,pop13,pop14,ptwhnl13,ptwhnl14,ptblknl13,ptblknl14,ptasnl13,ptasnl14,ptothnl13,ptothnl14,ptlat13,ptlat14,meansp1517,meansp1517a17,minsp1517,minsp1517a17,maxsp1517,maxsp1517a17,mediansp1517,mediansp1517a17,totsp1517,totsp1517a17,nums1517,mhi16,mhi16a17,pir1517,mgr_phi16,mmoc_phi16,mean_sfno011818,tot_sfno011818,num_sfno011818,mean_sfoo011818,tot_sfoo011818,num_sfoo011818,prc_sfno011818,pop16,ptwhnl16,ptblknl16,ptnanl16,ptasnl16,ptpanl16,ptothnl16,pt2mnl16,ptlat16
370630005004,126294.12,130076.06,27500.00,28323.50,355000.00,365630.66,113000.00,116383.84,2147000.00,2211293.04,17.00,19080.00,19651.36,5.92,115746.31,1504702.00,13.00,130231.51,16669633.00,128.00,9.22,1065,1065,6.40,6.40,71.00,71.00,0.20,0.20,3.20,3.20,19.20,19.20,167448.65,170876.90,24000.00,24491.36,360000.00,367370.43,141000.00,143886.75,6195600.00,6322445.09,37.00,34554.00,35261.44,4.08,38.70,23.00,102172.47,1532587.00,15.00,128687.66,16858083.00,131.00,10.27,1191,13.69,64.90,0.00,0.00,0.00,0.00,0.00,21.41
370630006001,193271.19,199058.80,20000.00,20598.91,570000.00,587068.95,170000.00,175090.74,11403000.00,11744468.79,59.00,54084.50,55704.09,3.14,192450.24,9622512.00,50.00,227014.12,111236920.00,490.00,9.26,2431,2431,41.80,41.80,35.30,35.30,1.90,1.90,3.40,3.40,17.70,17.70,253195.12,258378.89,55000.00,56126.04,660000.00,673512.45,240000.00,244913.62,31143000.00,31780603.58,123.00,41591.00,42442.51,5.77,30.10,17.60,187008.52,8976409.00,48.00,226241.28,112441918.00,497.00,8.81,2989,39.55,38.11,0.00,5.29,0.00,0.00,7.83,9.23
370630006002,293142.86,301921.18,70000.00,72096.19,795000.00,818806.69,276250.00,284522.45,8208000.00,8453792.84,28.00,43258.50,44553.90,6.39,208882.47,3133237.00,15.00,294373.91,93022156.00,316.00,4.53,2228,2228,34.40,34.40,17.50,17.50,3.40,3.40,1.30,1.30,43.30,43.30,352355.77,359569.70,27000.00,27552.78,950000.00,969449.74,321000.00,327571.97,18322500.00,18697624.16,52.00,32184.00,32842.92,9.97,41.40,14.10,202278.00,3236448.00,16.00,294832.77,93167156.00,316.00,4.82,2406,38.03,39.11,0.00,6.86,0.00,0.00,0.58,15.42
370630006003,464882.35,478803.49,267000.00,274995.45,781000.00,804387.45,440000.00,453176.03,7903000.00,8139659.46,17.00,144365.50,148688.60,3.05,,,,465869.12,93639693.00,201.00,,518,518,84.90,84.90,7.50,7.50,3.50,3.50,1.20,1.20,2.90,2.90,543380.00,554504.84,330000.00,336756.23,1095000.00,1117418.39,489000.00,499011.50,13584500.00,13862621.11,25.00,110326.00,112584.75,4.43,,21.30,,,,466558.86,93311771.00,200.00,,622,90.35,4.18,0.00,2.41,0.00,0.00,3.06,0.00
370630007001,349576.92,360045.18,140000.00,144192.37,835000.00,860004.51,285000.00,293534.47,4544500.00,4680587.42,13.00,19281.50,19858.89,14.78,147755.14,1034286.00,7.00,294556.59,24153640.00,82.00,7.87,718,718,51.80,51.80,38.30,38.30,1.50,1.50,2.40,2.40,6.00,6.00,319441.18,325981.23,52000.00,53064.62,523000.00,533707.60,307000.00,313285.34,5430500.00,5541680.88,17.00,22105.00,22557.56,13.89,25.70,17.50,162314.57,1136202.00,7.00,293159.26,24039059.00,82.00,7.87,909,66.12,26.62,0.00,2.75,0.00,0.00,0.99,3.52
370630007002,357552.63,368259.73,134000.00,138012.70,867500.00,893477.74,329000.00,338852.08,13587000.00,13993869.81,38.00,69916.50,72010.19,4.71,199238.00,1992380.00,10.00,383162.88,135639659.00,354.00,2.75,1030,1030,72.60,72.60,18.30,18.30,1.80,1.80,2.80,2.80,4.40,4.40,434955.36,443860.38,177000.00,180623.79,1100000.00,1122520.76,397500.00,405638.18,24357500.00,24856181.22,56.00,59097.00,60306.92,6.73,23.90,15.50,199238.00,1992380.00,10.00,384248.33,135639659.00,353.00,2.75,1475,52.41,39.59,0.00,0.95,0.00,1.56,3.25,2.24
370630007003,275391.89,283638.64,59000.00,60766.79,850000.00,875453.69,270000.00,278085.29,10189500.00,10494629.90,37.00,66408.00,68396.62,4.07,248073.25,1984586.00,8.00,311719.67,103179210.00,331.00,2.36,1082,1082,47.60,47.60,43.90,43.90,1.60,1.60,2.70,2.70,4.30,4.30,355592.86,362873.06,5000.00,5102.37,850000.00,867402.40,298000.00,304101.08,24891500.00,25401114.02,70.00,76071.00,77628.43,3.92,50.00,13.20,249538.43,1746769.00,7.00,311779.68,103510853.00,332.00,2.06,1347,45.58,38.16,0.00,5.20,0.00,0.00,1.34,9.73
370630009001,51893.55,53447.53,16000.00,16479.13,129000.00,132862.97,29500.00,30383.39,570829.00,587922.77,11.00,28682.50,29541.41,1.03,59260.53,1007429.00,17.00,76625.30,4674143.00,61.00,21.79,801,801,4.50,4.50,52.30,52.30,0.00,0.00,1.70,1.70,41.40,41.40,85161.76,86905.31,9000.00,9184.26,209000.00,213278.94,61250.00,62504.00,2895500.00,2954780.77,34.00,23281.00,23757.64,2.63,43.60,15.00,56658.53,849878.00,15.00,76770.02,4682971.00,61.00,19.74,845,6.51,46.15,0.00,0.00,0.00,0.00,0.00,47.34
370630009002,71826.92,73977.81,15000.00,15449.18,270000.00,278085.29,46000.00,47377.49,1867500.00,1923423.26,26.00,16479.50,16972.99,2.79,125059.18,2751302.00,22.00,135981.36,14550005.00,107.00,17.05,867,867,3.00,3.00,79.60,79.60,1.00,1.00,2.10,2.10,14.30,14.30,173707.10,177263.48,16275.00,16608.20,1095000.00,1117418.39,117000.00,119395.39,14070275.00,14358341.59,81.00,26444.00,26985.40,4.42,42.20,31.60,113124.30,2601859.00,23.00,136220.62,14439386.00,106.00,17.83,1154,3.38,80.50,0.00,0.00,0.00,0.00,1.91,14.21
370630010011,76086.96,78365.42,5000.00,5149.73,132000.00,135952.81,89000.00,91665.15,1750000.00,1802404.66,23.00,29461.50,30343.74,3.02,66707.82,733786.00,11.00,88035.87,11092520.00,126.00,8.03,878,878,9.30,9.30,67.50,67.50,0.00,0.00,1.80,1.80,21.30,21.30,116960.87,119355.46,9200.00,9388.36,339000.00,345940.49,100000.00,102047.34,5380200.00,5490351.07,46.00,41316.00,42161.88,2.42,19.90,10.00,63406.20,634062.00,10.00,87365.13,11008007.00,126.00,7.35,1296,10.57,53.70,9.26,0.00,0.00,0.00,2.16,24.31
