id,meansp9800,meansp9800a17,minsp9800,minsp9800a17,maxsp9800,maxsp9800a17,mediansp9800,mediansp9800a17,stddevsp9800,stddevsp9800a17,totsp9800,totsp9800a17,nums9800,mhi99,mhi99a17,pir9800,mgr_phi99,mmoc_phi99,pop00,ptwhnl00,ptblknl00,ptnanl00,ptasnl00,ptpanl00,ptothnl00,pt2mnl00,ptlat00,mean_sfno2001,tot_sfno2001,num_sfno2001,mean_sfoo2001,tot_sfoo2001,num_sfoo2001,prc_sfno2001
370630018013,82086.00,120319.83,5350.00,7841.91,114000.00,167098.67,85750.00,125690.44,21066.45,30878.74,9193644.00,13475839.07,112.00,43779.00,64170.29,1.96,39.60,25.80,2089,27.86,57.49,0.00,1.15,0.00,0.00,3.26,10.24,86814.56,1562662.00,18.00,91129.65,47022899.00,516.00,3.37
370630017113,98666.00,144622.43,94000.00,137783.11,105000.00,153906.67,97000.00,142180.44,5686.24,8334.77,296000.00,433870.22,3.00,35794.00,52466.05,2.71,28.80,23.80,1493,40.39,45.55,0.00,1.27,0.00,0.00,11.32,1.47,67023.00,67023.00,1.00,88539.96,2036419.00,23.00,4.17
370630017072,158951.00,232986.84,20000.00,29315.56,346500.00,507892.00,156000.00,228661.33,75021.42,109964.73,29565000.00,43335720.00,186.00,75130.00,110123.88,2.08,13.70,17.50,2464,90.91,5.36,0.28,1.62,0.00,0.00,0.85,0.97,162592.27,4227399.00,26.00,175782.56,143262784.00,815.00,3.09
370630017112,122766.00,179947.67,93600.00,137196.80,139000.00,203743.11,126000.00,184688.00,17053.05,24995.99,736600.00,1079691.91,6.00,37328.00,54714.55,3.38,23.40,19.20,1401,34.48,45.04,2.28,3.00,0.00,0.29,1.86,13.06,173824.00,347648.00,2.00,135597.74,5830703.00,43.00,4.44
370630017102,106049.00,155444.27,22000.00,32247.11,136000.00,199345.78,113000.00,165632.89,23356.21,34235.01,5408500.00,7927659.11,51.00,45691.00,66972.85,2.47,21.50,24.10,1427,36.79,47.58,1.47,5.33,0.00,0.28,4.21,4.35,126759.60,633798.00,5.00,115579.75,22769210.00,197.00,2.48
370630018014,62181.00,91143.53,8000.00,11726.22,124500.00,182489.33,64750.00,94909.11,34329.82,50319.89,1368000.00,2005184.00,22.00,37250.00,54600.22,1.74,14.70,18.80,736,82.20,10.33,0.00,2.72,0.00,0.00,0.00,4.75,67755.31,1084085.00,16.00,86627.80,11348242.00,131.00,10.88
370630017091,60993.00,89402.18,2000.00,2931.56,116000.00,170030.22,72000.00,105536.00,25929.75,38007.26,2561714.00,3754903.45,42.00,35781.00,52446.99,2.01,28.60,26.30,960,1.98,97.19,0.00,0.00,0.00,0.00,0.83,0.00,62647.55,1378246.00,22.00,74221.03,14473100.00,195.00,10.14
370630017051,113557.00,166449.33,22000.00,32247.11,177500.00,260175.56,118500.00,173694.67,25141.26,36851.50,9993038.00,14647573.03,88.00,47500.00,69624.44,2.49,21.10,19.50,1583,71.38,21.73,0.00,4.55,0.00,0.00,0.76,1.58,113773.07,1706596.00,15.00,123333.28,70669971.00,573.00,2.55
370630019002,130857.00,191807.28,500.00,732.89,332000.00,486638.22,122000.00,178824.89,90956.79,133322.44,5496000.00,8055914.67,42.00,50938.00,74663.79,2.40,30.80,20.20,896,89.06,8.82,0.00,0.00,0.00,0.00,2.12,0.00,291056.50,582113.00,2.00,204580.57,20048896.00,98.00,2.00
370630017052,198951.00,291617.95,3000.00,4397.33,735000.00,1077346.67,120000.00,175893.33,146406.29,214599.09,18303500.00,26828863.56,92.00,37401.00,54821.55,3.21,37.10,21.30,1604,92.14,6.61,0.00,1.25,0.00,0.00,0.00,0.00,103897.70,2077954.00,20.00,204758.02,80879418.00,395.00,4.82
