id,meansp9800,meansp9800a17,minsp9800,minsp9800a17,maxsp9800,maxsp9800a17,mediansp9800,mediansp9800a17,totsp9800,totsp9800a17,nums9800,mhi99,mhi99a17,pir9800,mgr_phi99,mmoc_phi99,pop00,ptwhnl00,ptblknl00,ptnanl00,ptasnl00,ptpanl00,ptothnl00,pt2mnl00,ptlat00,mean_sfno2001,tot_sfno2001,num_sfno2001,mean_sfoo2001,tot_sfoo2001,num_sfoo2001,prc_sfno2001
370630018014,63952.38,93739.98,8000.00,11726.22,124500.00,182489.33,65000.00,95275.56,1343000.00,1968539.56,21.00,37250.00,54600.22,1.74,14.70,18.80,736,82.20,10.33,0.00,2.72,0.00,0.00,0.00,4.75,67755.31,1084085.00,16.00,86627.80,11348242.00,131.00,10.88
370630017091,65829.82,96491.89,4000.00,5863.11,116000.00,170030.22,73750.00,108101.11,2238214.00,3280724.34,34.00,35781.00,52446.99,2.06,28.60,26.30,960,1.98,97.19,0.00,0.00,0.00,0.00,0.83,0.00,62647.55,1378246.00,22.00,74221.03,14473100.00,195.00,10.14
370630017051,116122.64,170209.99,50000.00,73288.89,177500.00,260175.56,118500.00,173694.67,10451038.00,15318899.26,90.00,47500.00,69624.44,2.49,21.10,19.50,1583,71.38,21.73,0.00,4.55,0.00,0.00,0.76,1.58,113773.07,1706596.00,15.00,123333.28,70669971.00,573.00,2.55
370630019002,166769.23,244446.63,37000.00,54233.78,500000.00,732888.89,183500.00,268970.22,6504000.00,9533418.67,39.00,50938.00,74663.79,3.60,30.80,20.20,896,89.06,8.82,0.00,0.00,0.00,0.00,2.12,0.00,291056.50,582113.00,2.00,204580.57,20048896.00,98.00,2.00
370630017052,198050.56,290298.11,3000.00,4397.33,735000.00,1077346.67,120000.00,175893.33,17626500.00,25836532.00,89.00,37401.00,54821.55,3.21,37.10,21.30,1604,92.14,6.61,0.00,1.25,0.00,0.00,0.00,0.00,103897.70,2077954.00,20.00,204758.02,80879418.00,395.00,4.82
370630001021,91901.07,134706.55,22000.00,32247.11,270000.00,395760.00,92000.00,134851.56,17185500.00,25190124.00,187.00,33942.00,49751.43,2.71,23.70,19.90,4462,47.33,31.06,0.47,0.83,0.00,0.00,1.23,19.07,97790.30,3618241.00,37.00,102877.43,78186847.00,760.00,4.64
370630018011,105213.07,154218.98,6000.00,8794.67,180000.00,263840.00,116500.00,170763.11,11468225.00,16809869.36,109.00,53516.00,78442.56,2.18,16.10,16.10,1301,49.96,49.12,0.00,0.92,0.00,0.00,0.00,0.00,79905.29,1118674.00,14.00,115313.25,45548734.00,395.00,3.42
370630017092,82467.48,120879.00,6000.00,8794.67,240000.00,351786.67,78000.00,114330.67,4453244.00,6527466.09,54.00,40893.00,59940.05,1.91,24.80,22.90,966,0.00,98.34,0.00,0.00,0.00,0.00,1.66,0.00,67076.73,737844.00,11.00,75607.70,14516679.00,192.00,5.42
370630001012,82586.96,121054.13,19000.00,27849.78,326000.00,477843.56,81000.00,118728.00,7598000.00,11136979.56,92.00,29167.00,42752.34,2.78,21.80,24.30,2062,20.08,65.33,0.34,2.43,0.00,0.00,0.29,11.54,79489.00,1669269.00,21.00,78828.38,33423231.00,424.00,4.72
370630017073,112984.85,165610.68,20000.00,29315.56,154000.00,225729.78,119000.00,174427.56,3728500.00,5465152.44,33.00,48672.00,71342.34,2.44,23.90,16.90,585,86.67,12.14,0.00,0.00,0.00,0.00,0.00,1.20,114895.71,1608540.00,14.00,132289.25,24605800.00,186.00,7.00
370630018043,121295.14,177791.72,40000.00,58631.11,345000.00,505693.33,118000.00,172961.78,52399500.00,76806022.67,432.00,53091.00,77819.61,2.22,37.20,22.80,2887,44.16,49.95,0.00,0.00,0.00,0.00,5.27,0.62,112750.86,4961038.00,44.00,122970.37,128381065.00,1044.00,4.04
370630001011,,,,,,,,,,,,,,,,,1089,59.87,34.16,0.00,0.00,0.00,0.00,0.00,5.97,,,,,,,
370630017061,203902.68,298876.02,20000.00,29315.56,545500.00,799581.78,175000.00,256511.11,30381500.00,44532527.56,149.00,42398.00,62146.05,4.13,26.50,21.50,3847,66.94,19.24,0.00,6.47,0.00,0.00,3.33,4.03,134006.96,3216167.00,24.00,181940.74,87513496.00,481.00,4.75
370630018044,101224.14,148372.09,24000.00,35178.67,175000.00,256511.11,102750.00,150608.67,5871000.00,8605581.33,58.00,37372.00,54779.05,2.75,27.50,19.20,1879,56.15,42.63,0.00,0.00,0.00,0.00,0.00,1.22,79703.52,1673774.00,21.00,104218.52,30014935.00,288.00,6.80
370630004011,108487.01,159017.85,27000.00,39576.00,235000.00,344457.78,100000.00,146577.78,8353500.00,12244374.67,77.00,45132.00,66153.48,2.22,41.30,16.40,1062,71.00,22.60,0.75,0.38,0.00,0.00,0.00,5.27,95198.55,2094368.00,22.00,107239.36,36354144.00,339.00,6.09
370630018023,65742.55,96363.97,10000.00,14657.78,105000.00,153906.67,76000.00,111399.11,3089900.00,4529106.76,47.00,26700.00,39136.27,2.85,19.40,36.00,710,32.25,54.65,0.00,0.00,0.00,0.00,0.70,12.39,71040.16,1349763.00,19.00,72386.52,13608665.00,188.00,9.18
370630004013,151112.24,221496.96,15500.00,22719.56,368000.00,539406.22,144000.00,211072.00,7404500.00,10853351.56,49.00,46625.00,68341.89,3.09,21.80,17.80,668,80.99,12.57,0.75,2.54,0.00,0.00,3.14,0.00,111870.13,894961.00,8.00,152806.45,25060258.00,164.00,4.65
370630003011,72209.68,105843.34,10500.00,15390.67,140000.00,205208.89,71000.00,104070.22,2238500.00,3281143.56,31.00,28083.00,41163.44,2.53,25.40,21.50,1027,30.96,48.78,0.00,0.00,0.68,1.17,4.28,14.12,65615.60,1312312.00,20.00,82183.88,9204595.00,112.00,15.15
370630004021,95491.38,139969.14,25000.00,36644.44,157000.00,230127.11,93750.00,137416.67,5538500.00,8118210.22,58.00,26781.00,39254.99,3.50,29.60,22.50,1433,67.97,15.70,0.42,0.00,0.00,0.49,4.26,11.16,70815.05,1345486.00,19.00,93083.90,20013038.00,215.00,8.12
370630020171,232727.82,341127.27,12000.00,17589.33,657000.00,963016.00,231000.00,338594.67,57716500.00,84599563.11,248.00,82212.00,120504.52,2.81,35.30,16.80,3782,83.98,6.82,0.00,4.79,0.00,0.37,2.91,1.14,208240.87,6455467.00,31.00,236469.28,222281122.00,940.00,3.19
370630020152,141010.42,206689.94,10000.00,14657.78,330000.00,483706.67,128500.00,188352.44,6768500.00,9921116.89,48.00,30291.00,44399.87,4.24,27.70,18.60,2224,41.59,36.65,0.00,9.08,0.00,0.00,0.00,12.68,274419.75,1097679.00,4.00,200394.18,15430352.00,77.00,4.94
370630004012,145119.40,212712.79,16000.00,23452.44,240000.00,351786.67,153500.00,224996.89,9723000.00,14251757.33,67.00,50263.00,73674.39,3.05,27.20,16.20,963,92.52,3.95,0.00,3.22,0.00,0.00,0.00,0.31,126976.88,1015815.00,8.00,146543.84,47919835.00,327.00,2.39
370630015022,73125.00,107185.00,62000.00,90878.22,81500.00,119460.89,74500.00,109200.44,292500.00,428740.00,4.00,20680.00,30312.28,3.60,27.30,27.50,2759,23.52,37.22,0.62,17.11,0.51,0.00,2.46,18.56,93813.00,375252.00,4.00,67801.00,610209.00,9.00,30.77
370630018012,102621.95,150420.97,43000.00,63028.44,162000.00,237456.00,107000.00,156838.22,4207500.00,6167260.00,41.00,42404.00,62154.84,2.52,32.60,22.30,649,49.61,48.54,0.00,0.00,0.00,0.00,0.00,1.85,80546.04,2013651.00,25.00,104212.24,20425600.00,196.00,11.31
370630003021,136203.13,199643.52,2000.00,2931.56,335000.00,491035.56,130000.00,190551.11,8717000.00,12777184.89,64.00,56010.00,82098.21,2.32,27.90,15.30,743,75.24,18.71,0.00,2.69,0.00,0.00,0.00,3.36,119399.60,596998.00,5.00,143596.75,40637879.00,283.00,1.74
370630002001,93539.47,137108.08,17500.00,25651.11,167000.00,244784.89,94000.00,137783.11,3554500.00,5210107.11,38.00,36250.00,53134.44,2.59,27.20,20.00,772,38.99,52.20,0.00,0.00,0.00,0.00,1.94,6.87,88249.91,970749.00,11.00,105183.02,17144833.00,163.00,6.32
370630003013,119819.36,175628.56,15000.00,21986.67,410500.00,601701.78,83000.00,121659.56,3354942.00,4917599.43,28.00,27708.00,40613.77,3.00,25.00,22.20,592,44.93,51.52,0.00,0.84,0.00,0.00,0.00,2.70,79401.33,714612.00,9.00,117864.14,7543305.00,64.00,12.33
370630003022,132166.67,193726.97,12500.00,18322.22,280000.00,410417.78,125000.00,183222.22,5551000.00,8136532.44,42.00,29917.00,43851.67,4.18,31.40,19.80,1084,47.05,42.34,0.00,0.55,0.00,0.00,0.00,10.05,100756.19,1612099.00,16.00,138794.28,22623468.00,163.00,8.94
370630003023,194393.88,284938.23,10300.00,15097.51,525000.00,769533.33,178000.00,260908.44,9525300.00,13961973.07,49.00,31961.00,46847.72,5.57,30.70,18.80,1700,59.35,20.65,0.00,3.00,0.00,0.00,0.00,17.00,109078.20,1636173.00,15.00,177604.59,33922476.00,191.00,7.28
370630015031,95000.00,139248.89,90000.00,131920.00,100000.00,146577.78,95000.00,139248.89,190000.00,278497.78,2.00,8750.00,12825.56,10.86,50.00,0.00,1721,67.87,6.68,0.00,15.69,0.00,0.00,3.37,6.39,,,,,,,
370630005001,71500.00,104803.11,35000.00,51302.22,108000.00,158304.00,71500.00,104803.11,143000.00,209606.22,2.00,11151.00,16344.89,6.41,50.00,10.00,1226,60.20,20.96,0.98,12.72,0.00,0.00,2.37,2.77,37483.00,37483.00,1.00,66184.50,529476.00,8.00,11.11
370630010021,68750.00,100772.22,15000.00,21986.67,131000.00,192016.89,72750.00,106635.33,3300000.00,4837066.67,48.00,24726.00,36242.82,2.94,27.10,18.20,2830,7.81,73.64,0.00,0.00,0.00,0.35,1.98,16.22,67211.77,873753.00,13.00,75967.51,23094123.00,304.00,4.10
370630018021,92228.57,135186.59,10000.00,14657.78,152000.00,222798.22,99000.00,145112.00,13834286.00,20277988.99,150.00,40477.00,59330.29,2.45,23.20,20.90,3938,17.45,57.34,0.00,0.97,0.00,0.33,2.06,21.86,81141.71,2758818.00,34.00,99648.90,69654581.00,699.00,4.64
370630005002,79805.56,116977.22,47000.00,68891.56,200000.00,293155.56,80000.00,117262.22,1436500.00,2105589.78,18.00,26688.00,39118.68,3.00,27.00,21.00,734,27.93,54.22,0.00,4.77,0.00,1.09,1.77,10.22,62160.76,1056733.00,17.00,86901.06,5387866.00,62.00,21.52
370630018042,140905.86,206536.68,17000.00,24918.22,313000.00,458788.44,132000.00,193482.67,45653500.00,66917885.78,324.00,60400.00,88532.98,2.19,24.30,20.50,2455,40.65,52.38,0.73,0.41,0.00,0.85,0.29,4.68,133366.68,4134367.00,31.00,132849.14,111194734.00,837.00,3.57
370630009001,35500.00,52035.11,5000.00,7328.89,75000.00,109933.33,24750.00,36278.00,639000.00,936632.00,18.00,20086.00,29441.61,1.23,25.40,24.00,900,1.56,55.56,0.00,0.00,0.00,0.67,1.44,40.78,44224.33,796038.00,18.00,52972.43,3549153.00,67.00,21.18
370630009002,40299.05,59069.45,4065.00,5958.39,138000.00,202277.33,36500.00,53500.89,1491065.00,2185569.94,37.00,18036.00,26436.77,2.02,29.90,35.30,1218,2.05,90.56,0.00,0.00,0.00,0.00,0.00,7.39,53563.73,1606912.00,30.00,57268.38,5784106.00,101.00,22.90
370630010024,51305.56,75202.55,17000.00,24918.22,85000.00,124591.11,51000.00,74754.67,1847000.00,2707291.56,36.00,23420.00,34328.52,2.18,24.60,23.60,1592,8.17,41.27,0.00,0.00,0.00,0.00,0.88,49.69,51226.30,512263.00,10.00,61813.00,5748609.00,93.00,9.71
370630007001,137800.00,201984.18,17000.00,24918.22,360000.00,527680.00,94500.00,138516.00,2067000.00,3029762.67,15.00,11197.00,16412.31,8.44,28.70,25.00,764,43.19,53.27,0.78,0.00,0.00,1.96,0.78,0.00,58563.14,409942.00,7.00,124107.03,8439278.00,68.00,9.33
370630008011,,,,,,,,,,,,,,,,,218,12.84,87.16,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
370630006002,171410.89,251250.27,10000.00,14657.78,322000.00,471980.44,175000.00,256511.11,17312500.00,25376277.78,101.00,47000.00,68891.56,3.72,24.80,13.60,2745,43.46,34.24,0.00,1.17,0.55,0.00,0.95,19.64,141002.20,2820044.00,20.00,213432.22,105222084.00,493.00,3.90
370630010011,56451.22,82744.94,20000.00,29315.56,180000.00,263840.00,58500.00,85748.00,2314500.00,3392542.67,41.00,27727.00,40641.62,2.11,33.10,22.20,1300,6.39,71.46,0.00,0.00,0.00,0.00,6.00,16.15,65268.50,1044296.00,16.00,66175.61,8139600.00,123.00,11.51
370630012011,90416.34,132530.26,9500.00,13924.89,410500.00,601701.78,64250.00,94176.22,2893323.00,4240968.56,32.00,18893.00,27692.94,3.40,33.20,17.30,1459,4.18,86.91,0.00,0.00,0.00,0.00,1.17,7.75,50292.54,653803.00,13.00,56161.04,2639569.00,47.00,21.67
370630018054,158125.14,231776.32,1000.00,1465.78,292000.00,428007.11,158000.00,231592.89,43800665.00,64202041.41,277.00,68750.00,100772.22,2.30,37.50,22.50,1593,66.54,28.75,0.75,1.63,0.00,0.00,1.95,0.38,140108.55,2802171.00,20.00,165913.62,99714085.00,601.00,3.22
370630019001,150531.25,220645.36,60000.00,87946.67,375000.00,549666.67,124000.00,181756.44,2408500.00,3530325.78,16.00,41467.00,60781.41,2.99,23.40,15.20,751,91.21,3.33,0.00,2.13,0.00,0.00,0.00,3.33,134521.00,1479731.00,11.00,140763.61,16328579.00,116.00,8.66
370630005004,42850.89,62809.88,6500.00,9527.56,138000.00,202277.33,29750.00,43606.89,1542632.00,2261155.70,36.00,22847.00,33488.62,1.30,26.80,29.80,1233,3.16,75.34,0.00,0.00,0.00,0.00,0.00,21.49,55892.21,1341413.00,24.00,66072.46,5351869.00,81.00,22.86
370630018022,94004.27,137789.37,5000.00,7328.89,180000.00,263840.00,98000.00,143646.22,12220555.00,17912617.95,130.00,36989.00,54217.65,2.65,29.30,18.60,1762,14.87,81.61,0.00,0.00,0.00,0.00,3.52,0.00,85603.50,1198449.00,14.00,92631.09,39090318.00,422.00,3.21
370630010023,64433.33,94444.94,17000.00,24918.22,180000.00,263840.00,61250.00,89778.89,1933000.00,2833348.44,30.00,37500.00,54966.67,1.63,17.90,12.40,883,13.14,73.61,0.00,0.00,0.00,0.00,1.59,11.67,61340.60,613406.00,10.00,68329.84,6013026.00,88.00,10.20
370630012021,58555.56,85829.44,17500.00,25651.11,97000.00,142180.44,70000.00,102604.44,527000.00,772464.89,9.00,15981.00,23424.59,4.38,18.50,22.30,979,2.04,92.14,2.96,0.00,0.00,0.00,2.86,0.00,36842.11,331579.00,9.00,68910.27,1516026.00,22.00,29.03
370630010012,68468.09,100359.00,19000.00,27849.78,410500.00,601701.78,60000.00,87946.67,3218000.00,4716872.89,47.00,11563.00,16948.79,5.19,34.00,16.80,1995,4.41,68.62,1.30,0.00,0.00,0.00,0.65,25.01,56290.67,506616.00,9.00,64170.89,9176437.00,143.00,5.92
370630020172,216789.06,317764.59,25500.00,37377.33,540000.00,791520.00,209500.00,307080.44,13874500.00,20336933.78,64.00,70833.00,103825.44,2.96,36.40,16.60,1087,92.73,0.92,0.00,2.94,0.00,1.01,0.74,1.66,160405.83,962435.00,6.00,220420.59,66126176.00,300.00,1.96
370630011002,49758.62,72935.08,4000.00,5863.11,80000.00,117262.22,58000.00,85015.11,1443000.00,2115117.33,29.00,17206.00,25220.17,3.37,30.00,16.40,1594,4.71,70.89,0.00,0.00,0.00,0.00,0.00,24.40,53423.93,747935.00,14.00,58997.04,4837757.00,82.00,14.58
370630007002,194424.66,284983.35,15000.00,21986.67,550000.00,806177.78,179000.00,262374.22,14193000.00,20803784.00,73.00,65238.00,95624.41,2.74,32.50,16.30,1017,78.07,13.67,2.66,0.00,0.00,0.00,0.00,5.61,152986.00,1223888.00,8.00,189868.13,60378064.00,318.00,2.45
