trtid10,ag25up12,hinc12,hincb12,hincw12,hinch12,hs12,col12,clf12,unemp12,hinca12,mrent12,mhmval12,mgrent12,hinc12a17,hincw12a17,hincb12a17,hinch12a17,hinca12a17,mhmval12a17,mgrent12a17,mrent12a17,pcol12,phs12,punemp12,meansp0809,minsp0809,maxsp0809,mediansp0809,stddevsp0809,totsp0809,nums0809,meansp0809a17,minsp0809a17,maxsp0809a17,mediansp0809a17,totsp0809a17,pir0812
37063002015,3414,39683.0,33065,53793,27042,1094,1411,2880,173,19253,743,170000,848.0,42209.64893702798,57218.04413148064,35170.27548579568,28763.786169269224,20478.85419410326,180824.03848738142,901.9928508076438,790.3074152713199,41.32981839484476,32.04452255418864,6.006944444444445,169228.0,50000.0,470000.0,160500.0,59349.35170665304,11846000.0,70.0,180002.88461848578,53183.54073158277,499925.28287687805,170719.16574838068,12600244.47012659,4.044553083184235
37063002016,3456,35134.0,31015,50156,39228,1152,1424,3202,179,16927,718,244900,834.0,37371.01040126858,53349.47337866531,32989.75031580079,41725.678716370574,18004.75587927003,260492.98250329238,887.1014594028005,763.7156449055285,41.2037037037037,33.33333333333333,5.590256089943786,179007.0,77500.0,247000.0,173000.0,51775.02942539,1969086.0,11.0,190404.52151476874,82434.48813395329,262726.69121401885,184015.05093127638,2094459.3096997878,4.924005237092275
37063002017,4880,76590.0,76875,75872,89943,522,3727,3238,128,58846,1058,318700,1209.0,81466.54769263849,80702.83204773295,81769.69387480851,95669.74408041498,62592.77275781439,338991.88862310856,1285.9780148896714,1125.3637218802915,76.37295081967214,10.696721311475411,3.953057442865967,328270.0,12500.0,801500.0,326750.0,102042.32647779057,67623684.0,206.0,349171.2183191335,13295.885182895692,852532.1579272718,347554.4386808934,71929339.04867364,4.266222744483614
37063002018,5586,68707.0,48071,84722,28992,615,3962,4140,159,34293,875,333300,1012.0,73081.63066089715,90116.31875722311,51131.71973015831,30837.94425780095,36476.46324616336,354521.4825167307,1076.4348644072352,930.7119628026984,70.92731829573935,11.009667024704619,3.8405797101449277,363408.0,4000.0,2430000.0,292500.0,303992.6688671949,86854728.0,239.0,386546.4834036606,4254.683258526621,2584720.0795549224,311123.7132797592,92384839.28637084,4.257208144730522
37063002019,3266,54893.0,35543,72250,43365,238,2464,2571,64,20857,923,259600,1031.0,58388.08202757546,76850.2163571371,37806.051764452925,46126.084876501736,22184.982180772437,276128.9434783777,1096.6446098852366,981.7681619050179,75.44396815676669,7.287201469687692,2.4893037728510308,357922.0,51500.0,789000.0,309000.0,157405.58059039712,31855089.0,89.0,380711.18531459133,54779.046953530255,839236.2727443761,328674.2817211815,33883328.46679389,5.629133040642705
37063002020,4166,124467.0,124712,131979,87045,235,3427,3427,106,163124.9844,915,320700,1288.0,132391.91528475826,140382.21044427124,132652.514634343,92587.22605961244,173511.28504352405,341119.23025237187,1370.008009245572,973.2587953879647,82.26116178588573,5.640902544407105,3.0930843303180624,335987.0,2576.0,2017000.0,324500.0,140530.67339908396,123643229.0,368.0,357379.565995646,2740.016018491144,2145424.0331120486,345161.17934797215,131515694.11411831,2.6071167458041087
37063002021,3189,45951.0,37151,67758,19882,375,2162,2830,215,24249.87305,785,217400,910.0,48876.7376031392,72072.2070578117,39516.43443438063,21147.90313650657,25793.882221807722,231242.03510092187,967.9404413148063,834.9815894858494,67.79554719347757,11.759172154280337,7.597173144876325,246968.0,70530.0,357000.0,265500.0,65658.34579853501,15312037.0,62.0,262692.6537479507,75020.70255597065,379730.48082350096,282404.6012847045,16286966.869460048,5.777893843441928
37063002022,3488,51441.0,37409,69904,54469,399,2092,3009,291,63750,821,196700,936.0,54716.29037546698,74354.84462601124,39790.86150455559,57937.08560217164,67809.01443276803,209224.0492380466,995.5958824952294,873.273738812589,59.977064220183486,11.439220183486238,9.67098703888335,200173.0,40000.0,313000.0,195000.0,40310.56790718781,25221907.0,126.0,212918.17797726236,42546.83258526622,332928.96497970814,207415.80885317278,26827806.36525385,3.790750568612585
37063002023,2062,63493.0,41950,87868,113625,170,1385,1907,107,28954,774,226900,899.0,67535.65103340769,93462.62714005429,44620.99067379794,120859.59631252184,30797.52476684495,241346.9078399226,956.2400623538582,823.2812105249012,67.16779825412222,8.244422890397672,5.610907184058731,221338.0,13000.0,325000.0,217500.0,50309.71181591085,15936341.0,72.0,235430.77076894132,13827.72059021152,345693.01475528796,231348.40218238503,16951020.81371785,3.4255744727765265
37063002024,4538,91205.0,93295,82472,99643,317,3617,4000,150,123000,990,193500,1155.0,97012.09664848013,87723.05942430189,99235.16865106029,105987.35098234203,130831.51019969361,205820.30263122532,1228.539790899562,1053.0341064853387,79.70471573380344,6.985456148082855,3.75,205246.0,2363.0,367000.0,206750.0,49293.97877023116,44743794.0,218.0,218314.18001988874,2513.4541349746014,390367.18896981754,219913.94092509474,47592667.813690975,2.2668713338084534
37063002025,3965,63082.0,58308,82850,46917,720,2315,3928,254,80096,738,181100,843.0,67098.48232859408,88125.12699223265,62020.51785954256,49904.243610073376,85195.77756873707,192630.78452979279,896.6744967344855,784.9890611981616,58.38587641866331,18.15889029003783,6.4663951120162935,193961.0,2764.0,934500.0,185000.0,99080.15301764528,54697238.0,282.0,206310.6548767705,2939.9861316418956,994000.376273282,196779.10070685623,58179855.70156153,2.9326907834247486
37063002026,3198,41167.0,36955,49375,47500,1219,1130,3102,242,-999,723,133700,862.0,43788.13642594135,52518.74647243798,39307.954954712826,50524.36369500363,-1062.6071438170236,142212.78791625233,916.8842422124869,769.0339989786868,35.33458411507192,38.117573483427144,7.801418439716312,128749.0,10000.0,338500.0,114115.5,67760.50759845295,10557495.0,82.0,136946.553713011,10636.708146316554,360052.57075281534,121381.32684709867,11229699.307119628,2.77201399178954
37063002027,4676,48155.0,28406,49093,45833,1190,2700,4476,229,103235.1719,733,177400,863.0,51221.06807858736,52218.791302711856,30214.6331604268,48751.22444701266,109808.23939351198,188695.20251565566,917.9479130271186,779.6707071250033,57.74165953806673,25.449101796407188,5.116175156389634,188934.0,22000.0,370400.0,196000.0,60658.74118377334,29095949.0,154.0,200963.58169161718,23400.757921896417,393983.6697395652,208479.47966780444,30948511.775311098,4.0701900114214515
37063002028,4188,63039.0,59911,77945,55583,432,2773,4246,419,76250,881,183800,990.0,67052.74448356492,82907.82164646438,63725.5821753971,59122.0148896713,81104.89961566371,195502.69572929826,1053.0341064853387,937.0939876904883,66.21298949379178,10.315186246418339,9.868111163447951,205043.0,47000.0,560143.0,215000.0,73048.6382487723,28090995.0,137.0,218098.25484451852,49992.528287687805,595807.7611202194,228689.2251458059,29879571.535463758,3.4105870968765366
37063002100,7416,93246.0,78981,94759,14688,3269,2007,3214,121,87426,733,236800,907.0,99183.04878114334,100792.38272368103,84009.78461042276,15623.196925309754,92992.4846399871,251877.248904776,964.7494288709114,779.6707071250033,27.063106796116504,44.08036677454153,3.764779091474798,252533.0,3201.0,875000.0,244000.0,137096.6709953236,32324318.0,128.0,268611.9818313758,3404.8102776359287,930711.9628026985,259535.6787701239,34382433.65947268,2.6167342298865366
37063002200,1094,46211.0,16500,56583,36555,224,700,1078,73,101375,1014,202600,1092.0,49153.29201494343,60185.68570430295,17550.568441422314,38882.48662886016,107829.62883328406,215499.70704437338,1161.5285295777676,1078.5622060364985,63.98537477148081,20.47531992687386,6.771799628942486,164986.0,10500.0,540000.0,102250.0,159113.68111824954,3299726.0,20.0,175490.79302281828,11168.543553632382,574382.2399010939,108760.34079608676,3509822.2424812536,2.2126766354331218
37063002300,916,16694.0,15887,23056,18750,661,54,349,57,-999,432,94300,650.0,17756.920579460853,24523.994302147446,16898.53823205311,19943.82777434354,-1062.6071438170236,100304.1578197651,691.386029510576,459.50579192087514,5.895196506550218,72.16157205240175,16.332378223495702,40178.0,4000.0,125000.0,29500.0,32370.296646771712,562500.0,14.0,42736.16599027065,4254.683258526621,132958.85182895692,31378.289031633834,598314.8332303062,1.7671019527974123
