trtid10,ag25up00,hs00,col00,clf00,unemp00,hinc00,hincw00,hincb00,hinch00,hinca00,mhmval00,mrent00,hinc00a17,hincw00a17,hincb00a17,hinch00a17,hinca00a17,mhmval00a17,mrent00a17,pcol00,phs00,punemp00,meansp9800,minsp9800,maxsp9800,mediansp9800,stddevsp9800,totsp9800,nums9800,meansp9800a17,minsp9800a17,maxsp9800a17,mediansp9800a17,totsp9800a17,pir9800
37063001603,3817.601563,1274.863281,1470.5354,3124.762695,54.90797424,61469.00285,62187.99992,60892.99826,,58235.29412,136600.0025,569.0000088,87297.74844945932,88318.86189595408,86479.71169154641,,82705.26316123636,193998.14709114833,808.0889120192154,38.51987630800328,33.39435139999705,1.7571886123659706,165088.24,6000.0,466000.0,142250.0,75716.23,65705121.0,398.0,234456.8966354067,8521.148325358852,661809.1866028708,202022.2248803828,93313846.96277513,2.3141745173112076
37063001604,3750,919,1661,3200,57,79769.0,83924,52708,61250,,168600,794,113287.24679425838,119188.14200956938,74855.4476555024,86986.72248803829,,239444.26794258374,1127.631961722488,44.29333333333334,24.506666666666664,1.7812499999999998,172094.53,20000.0,516000.0,166000.0,60393.97,75549500.0,439.0,244407.1693521531,28403.827751196175,732818.7559808613,235751.77033492824,107294749.23444976,2.0810089132369716
37063001705,3016.481,1120.79927,956.8368438,1985.680821,92.98554473,41823.12815,38981.18647,54498.49014,39792.54863,61873.91962,113299.9037,656.9943384,59396.84639944019,55360.74530155694,77398.28633184115,56513.03485338086,87872.80775889187,160907.5474460957,933.0577010712344,31.720300701380182,37.155853791222285,4.682804192225212,144029.2,3000.0,735000.0,115000.0,101266.22,34711038.0,241.0,204549.0293971292,4260.574162679426,1043840.6698564594,163322.009569378,49296317.22086125,2.749674763388066
37063001706,2569,364,1618,2410,81,42398.0,47056,30750,30147,32916.66667,137500,642,60213.27444976077,66828.52593301436,43670.88516746412,42814.509760765555,46747.96651191101,195276.31578947368,911.7628708133972,62.9817049435578,14.168937329700274,3.3609958506224067,203902.68,20000.0,545500.0,175000.0,84109.1,30381500.0,149.0,289580.8300363636,28403.827751196175,774714.4019138756,248533.4928229665,43147544.64114833,4.12755318647106
37063001707,4462,1334,2001,3184,61,64280.0,65724,62656,28750,61500,149700,971,91289.9023923445,93340.65875598087,88983.51157894738,40830.5023923445,87341.77033492824,212602.65071770336,1379.0058373205743,44.84536082474227,29.896907216494846,1.9158291457286432,185227.27,20000.0,821000.0,159500.0,117563.72,71312500.0,385.0,263058.1735952153,28403.827751196175,1165977.129186603,226520.5263157895,101277398.32535885,2.4813316739265714
37063001708,1812,642,567,1487,36,39833.0,10387,50323,58750,,101200,598,56570.48354066986,14751.527942583733,71468.29119617226,83436.24401913876,,143723.36842105264,849.2744497607656,31.29139072847682,35.430463576158935,2.42098184263618,97458.33,10000.0,230000.0,100500.0,38342.78,4678000.0,48.0,138409.48091196173,14201.913875598088,326644.019138756,142729.23444976078,6643655.311004785,2.5230336655536867
37063001709,2608,1574,361,1816,71,27750.0,19414,29438,30536,,82100,509,39410.31100478469,27571.595598086125,41807.59406698565,43366.96421052632,,116597.7129186603,722.8774162679426,13.8420245398773,60.35276073619632,3.909691629955947,76120.77,4000.0,240000.0,78000.0,37691.92,9743458.0,128.0,108106.06196842107,5680.7655502392345,340845.9330143541,110774.92822966508,13837575.136650719,2.810810810810811
37063001710,2096.519197,634.2007917,693.1631363,1793.319289,93.01446064,44898.15019,46099.89575,41024.37456,44218.59024,47694.43301,110201.1379,569.0155345,63763.96621720479,65470.674911555034,58262.46343013971,62798.86102888421,67735.22299535024,156506.70694487082,808.110961484641,33.062570440178995,30.250178133713508,5.186720580687402,128875.58,78000.0,280000.0,125000.0,21706.71,22166600.0,172.0,183027.98878277512,110774.92822966508,397653.5885167464,177523.92344497607,31480814.411483254,2.7840790649731666
37063001711,2496,864,908,2432,51,36029.0,39545,34554,39250,28409.09091,89100,636,51168.07550239235,56161.46842105263,49073.293205741626,55742.51196172249,40346.34623878565,126539.05263157895,903.2417224880384,36.378205128205124,34.61538461538461,2.0970394736842106,137710.53,66000.0,691000.0,106250.0,133631.99,5233000.0,38.0,195575.30868229666,93732.63157894737,981352.2488038278,150895.33492822968,7431861.531100479,2.9490132948458188
37063001801,3798.544283,2069.245431,716.1521019,2741.450229,81.0151467,45814.00593,44113.53271,48883.34108,40834.71929,57498.2365,99002.33382,468.0100777,65064.6566514,62649.659229579906,69423.6999969646,57993.11664908039,81658.50027717704,140602.26183948517,664.6638816407369,18.853330343022883,54.47469548428586,2.9551930523120213,95068.93,5350.0,285000.0,99250.0,36155.54,26999575.0,284.0,135016.0756105263,7598.023923444976,404754.54545454547,140953.995215311,38344563.88277512,2.166368078609973
