trtid10,ag25up12,hinc12,hincb12,hincw12,hinch12,hs12,col12,clf12,unemp12,hinca12,mrent12,mhmval12,hinc12a17,hincw12a17,hincb12a17,hinch12a17,hinca12a17,mhmval12a17,mrent12a17,pcol12,phs12,punemp12,meansp0709,minsp0709,maxsp0709,mediansp0709,stddevsp0709,totsp0709,nums0709,meansp0709a17,minsp0709a17,maxsp0709a17,mediansp0709a17,totsp0709a17,pir0712
37063000900,980,21382.0,18636,30893,25677,642,146,718,113,-999,468,77600,22743.409358454053,32859.98247641573,19822.56930147553,27311.875507297016,-1062.6071438170236,82540.85521541645,497.7979412476147,14.897959183673471,65.51020408163265,15.73816155988858,35165.58,5000.0,154000.0,19750.0,37822.13,914305.0,26.0,37404.60112559465,5318.354073158277,163805.30545327492,21007.498588975195,972519.5441717956,0.9236741184173604
37063001001,2413,22585.0,20110,20982,32536,1701,161,1461,355,-999,557,74600,24023.005348455936,22317.941032601393,21390.42008224259,34607.59362485554,-1062.6071438170236,79349.8427715215,592.464643749832,6.672192291753004,70.49316203895566,24.298425735797398,62151.46,5000.0,413100.0,32000.0,71954.64,4847814.0,78.0,66108.69408874674,5318.354073158277,439402.4135243368,34037.46606821297,5156478.266562744,1.4168696037192827
37063001002,2924,22074.0,21089,36250,28400,1834,188,2178,407,-999,502,87000,23479.46956217916,38558.067030397506,22431.75380976698,30208.251135539012,-1062.6071438170236,92539.36087295401,533.962748945091,6.429548563611491,62.722298221614224,18.68686868686869,49293.63,5500.0,117260.0,42500.0,28234.05,2021039.0,41.0,52432.195578251405,5850.189480474104,124726.0397237079,45206.009621845355,2149720.1995323463,1.9253420313490985
37063001100,1570,18818.0,18725,15972,25833,1035,111,1146,303,-999,367,81500,20016.15738973849,16988.9502512968,19917.236003977745,27477.808154379552,-1062.6071438170236,86689.17139247991,390.3671889698175,7.070063694267516,65.92356687898089,26.439790575916227,59767.39,6000.0,224400.0,49500.0,54362.29,1374650.0,23.0,63572.82840970785,6382.024887789932,238687.73080334347,52651.70532426694,1462175.085333405,2.6304601976830693
37063001301,565,17685.0,19583,2499,14750,314,76,558,149,-999,437,87200,18811.018356760826,2658.113365764507,20829.865562931707,15689.144515816917,-1062.6071438170236,92752.09503588035,464.8241459940334,13.451327433628318,55.575221238938056,26.70250896057348,40596.46,8000.0,120021.0,26750.0,34630.61,1136701.0,28.0,43181.26967936141,8509.366517053242,127662.83484290591,28453.19429139678,1209075.6786626172,1.51258128357365
37063001303,893,25833.0,23125,50556,58750,367,168,1069,140,-999,473,95000,27477.808154379552,53774.941704517965,24597.38758835703,62490.660359609756,-1062.6071438170236,101048.72739000726,503.11629532077296,18.81298992161254,41.097424412094064,13.096351730589337,63998.2,19000.0,245000.0,54246.0,56233.44,959973.0,15.0,68073.01752895961,20209.745478001452,260599.34958475558,57699.88701050878,1021095.2629343941,2.099872256416212
37063001304,1477,20343.0,22181,12917,11827,895,153,1046,242,-999,486,111900,21638.255382051764,13739.435912597091,23593.282339344747,12580.034724648587,-1062.6071438170236,119024.76415728223,516.9440159109845,10.35883547731889,60.595802301963445,23.135755258126196,72911.76,18000.0,157000.0,55000.0,46968.15,1239500.0,17.0,77554.11115542774,19146.074663369796,166996.31789716988,58501.894804741045,1318419.9747359368,2.703632699208573
37063001400,1447,17355.0,17267,-999,212727,928,162,1077,246,-999,359,79600,18460.00698793238,-1062.6071438170236,18366.403956244794,226271.50138414814,-1062.6071438170236,84668.19684467977,381.85782245276425,11.195577055977886,64.13268832066345,22.841225626740947,45092.35,7000.0,125000.0,37000.0,36831.27,766570.0,17.0,47963.41665815572,7445.695702421587,132958.85182895692,39355.820141371245,815378.1363721881,2.1319504465571884
37063001501,66,8482.0,-999,-999,-999,26,23,810,104,-999,370,-999,9022.0558497057,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,393.5582014137125,34.84848484848485,39.39393939393939,12.839506172839506,,,,,,,,,,,,,
37063001502,2988,25690.0,14817,21546,38031,1572,775,2956,404,28214,564,111000,27325.703227887225,22917.851372053647,15760.410460397237,40452.464751256484,30010.408364017523,118067.46042411374,599.9103394522537,25.937081659973227,52.610441767068274,13.667117726657645,93000.0,93000.0,93000.0,93000.0,,93000.0,1.0,98921.38576074394,98921.38576074394,98921.38576074394,98921.38576074394,98921.38576074394,3.62008563643441
37063001503,16,-999.0,-999,-999,-999,0,16,432,47,-999,-999,-999,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,-1062.6071438170236,100.0,0.0,10.87962962962963,,,,,,,,,,,,,
