trtid10,ag25up00,hs00,col00,clf00,unemp00,hinc00,hincw00,hincb00,hinch00,hinca00,mhmval00,mrent00,hinc00a17,hincw00a17,hincb00a17,hinch00a17,hinca00a17,mhmval00a17,mrent00a17,pcol00,phs00,punemp00,meansp9800,minsp9800,maxsp9800,mediansp9800,stddevsp9800,totsp9800,nums9800,meansp9800a17,minsp9800a17,maxsp9800a17,mediansp9800a17,totsp9800a17,pir9800
37063000900,1300,1068,69,945,120,18611.0,22708,17250,30114,,52600,381,26431.1819138756,32249.706028708137,24498.301435406698,42767.64344497608,,74702.06698564594,541.0929186602871,5.3076923076923075,82.15384615384616,12.698412698412698,38317.0,4065.0,138000.0,33000.0,28122.63282482634,2260754.0,59.0,54417.473397129186,5773.077990430622,195986.41148325359,46866.31578947369,3210703.3601913876,1.7731449142979958
37063001001,2588.999754,1785.267593,112.4956832,1970.873398,264.0240807,17572.31545,25108.41525,16371.89605,32207.25049,64807.68978,67926.61592,365.1469571,24956.051061574162,35658.75509332536,23251.22576823445,45740.45976287943,92039.32287320383,96468.79491566698,518.578563667091,4.34514074503848,68.95588113678902,13.396298360306957,55452.0,1000.0,410500.0,46000.0,49405.939025586784,9648808.0,174.0,78752.45282296652,1420.1913875598086,582988.5645933015,65328.8038277512,13703154.021818181,2.6177540535786368
37063001002,3315,2354,275,2945,269,25819.0,23165,26830,30182,,75700,411,36667.9214354067,32898.73349282297,38103.73492822966,42864.21645933014,,107508.48803827752,583.6986602870813,8.295625942684765,71.0105580693816,9.134125636672326,63083.0,15000.0,180000.0,65000.0,25256.741555473858,10093389.0,160.0,89589.9333014354,21302.87081339713,255634.44976076556,92312.44019138756,14334544.129090909,2.5175258530539524
37063001100,2155,1650,109,1625,301,16633.0,7063,13024,39432,47500,68100,352,23622.043349282296,10030.811770334929,18496.572631578947,56000.98679425837,67459.09090909091,96715.03349282297,499.90736842105264,5.058004640371229,76.5661252900232,18.52307692307692,45910.0,300.0,192000.0,39000.0,30790.861322801607,4636959.0,101.0,65200.98660287081,426.0574162679426,272676.74641148327,55387.46411483254,6585369.236267943,2.3447363674622737
37063001301,921.7588798,508.778849,147.6293569,467.9435337,34.95612603,19373.97414,38718.38827,18263.32631,21249.99929,,69600.8962,411.8954789,27514.751216434448,54987.52156125072,25937.41873365646,30179.06597731005,,98846.59334968422,584.9704117086029,16.01604933082197,55.196522664407965,7.470159006922078,52900.0,500.0,135000.0,55250.0,32066.696212737603,2221832.0,42.0,75128.12440191388,710.0956937799043,191725.83732057418,78465.57416267943,3155426.6710047848,2.8517638973167334
37063001303,1260,580,357,1997,900,27130.0,,26736,,,83200,401,38529.79234449761,,37970.23693779905,,,118159.92344497608,569.4967464114833,28.333333333333332,46.03174603174603,45.06760140210315,62651.0,2900.0,191000.0,56500.0,40212.355377421,3257900.0,52.0,88976.41062200957,4118.555023923445,271256.55502392346,80240.81339712918,4626841.5215311,2.082565425727976
37063001304,1728,1081,202,1200,84,21567.0,,20357,32917,,82200,350,30629.267655502394,,28910.836076555024,46748.43990430622,,116739.73205741627,497.066985645933,11.689814814814815,62.557870370370374,7.000000000000001,64499.0,1000.0,120000.0,71750.0,21660.61019454438,4127987.0,64.0,91600.9243062201,1420.1913875598086,170422.96650717704,101898.73205741627,5862531.585358852,3.326841934436871
37063001400,1668.441641,1021.347659,231.3910853,1331.239318,198.0924864,18439.19385,13815.8876,18270.991,63294.54184,,64908.88533,265.1616732,26187.18429931579,19621.204581014354,25948.30406038278,89890.36320071196,,92183.0399217732,376.58032458958854,13.868695171220555,61.2156657986457,14.880306171966595,57054.0,5100.0,190500.0,55000.0,35294.855375819294,3080936.0,54.0,81027.59942583732,7242.9760765550245,270546.4593301435,78110.52631578948,4375518.772822967,2.9827768202567055
37063001501,43,0,43,1156,240,4545.0,7125,2499,,5645.16129,0,440,6454.76985645933,10118.863636363636,3549.058277511962,,8017.209445444019,0.0,624.8842105263158,100.0,0.0,20.761245674740483,,,,,,,,,,,,,
37063001502,3440.53418,1566.332642,1283.453125,3183.643555,177.9241943,22264.99974,22422.9994,16048.00023,27250.0009,28520.40825,61999.998,517.0000075,31620.560874769377,31844.95063113876,22791.231714203826,38700.216589177035,40504.438166339714,88051.86318832535,734.2389580198566,37.30389113588169,45.525856162254435,5.588697076987942,62181.0,33000.0,81500.0,65000.0,17207.952696355253,684000.0,11.0,88308.92066985647,46866.31578947369,115745.5980861244,92312.44019138756,971410.9090909092,2.9193802272193516
