trtid10,ag25up90,hs90,col90,clf90,unemp90,hinc90,hincw90,hincb90,hinch90,hinca90,hinc90a17,hincw90a17,hincb90a17,hinch90a17,hinca90a17,pcol90,phs90,punemp90
37063001710,2032.537885,909.2278391,518.1420986,1839.362782,44.00964254,32435.12582,36337.89239,29455.80764,29999.99892,19618.41707,60218.25830112525,67464.03890038967,54686.92931167974,55697.26148199781,36423.07149158655,25.492371011820037,44.73362321116095,2.3926570098448368
37063001711,2596.385891,901.8815308,795.6025391,2694.718792,52.64286804,29755.00036,31290.32253,29607.14294,30000.0005,,55242.403170321806,58092.844618324314,54967.89471431306,55697.26441538701,,30.64269228460385,34.73603573052231,1.9535570166462104
37063001801,3339.381483,2401.240442,400.0536937,2655.329784,65.01242573,33508.50478,33415.11462,33261.3437,14166.66668,62502.26734,62211.06732634621,62037.68144805879,61752.194133129,26301.485560329005,116040.17508590335,11.97987398973668,71.90674243790791,2.4483748166325694
37063001802,3059.999974,1962,223,2892.999975,88,26494.99977,33220.3387,23928.57122,12159.09081,,49189.96610934417,61676.065256819384,44425.1978703387,22574.26948693792,,7.2875817612670355,64.117647603614,3.0418251213431136
37063001806,1387.631517,874.6103516,195.3109436,1199.578744,45.19865036,37723.99914,37046.49242,40110.61929,,87499.99678,70037.4506629229,68779.60831965222,74468.39104086193,,162450.3458592,14.075130263850873,63.02900596340375,3.767876897291872
37063001807,2817.987011,1776.14917,396.6353455,2436.091481,91.78892517,37724.00147,37046.49454,40110.62003,,87499.99768,70037.4549887437,68779.61225559218,74468.39241472774,,162450.3475301179,14.075130366170448,63.02900485583536,3.767876776627503
37063001808,1322.48768,920.5057132,139.3180002,1122.211072,33.36933379,35774.49017,36308.63718,31537.60128,31666.66723,62493.4907,66418.04017050445,67409.72439573165,58551.93627477466,58791.556948920086,116023.88059154965,10.534540495681593,69.60410498493263,2.973534535756211
37063001809,1415.735618,984.5393412,149.815271,1201.454602,35.68729817,35765.75833,36297.08418,31658.78679,31666.6669,61638.76813,66401.82885073088,67388.27537956278,58776.92631748428,58791.55633625019,114437.02365189428,10.582150303715817,69.54259882158308,2.9703409609146427
37063001900,1198.423853,810.6102905,135.9346466,940.5478279,0,38617.99895,40560.34286,25833.33368,,,71697.22876208913,75303.33678001688,47961.53309083721,,,11.342785464401134,67.63969929927622,0.0
37063002007,3065.126995,514.5177612,1901.217896,2558.601771,61.94194031,50796.99985,53309.77103,45253.9066,42499.99942,60096.1541,94308.46283331978,98973.61211649477,84017.29199069273,78904.45552991024,111573.04431563408,62.02737762909559,16.786180867523893,2.4209293142867914
