trtid10,pop00,nhwht00,nhblk00,ntv00,asian00,hisp00,haw00,hu00,vac00,ohu00,own00,rent00,pnhwht00,pnhblk00,pntv00,pasian00,phisp00,phaw00,pvac00,pohu00,pown00,prent00
37063001301,1406.821042,30.92581714,1333.995711,2.993729856,0.999567246,36.9088584,0,758.1768225,149.6124765,608.564346,204.4814996,404.0828312,2.198276555206657,94.82341187501233,0.2128010433895685,0.0710514853103825,2.6235645684918607,0.0,19.733190472200175,80.26680952779984,26.970159668788874,53.29664785420158
37063001303,3642,23,3583,5,5,23,0,867,72,795,405,390,0.6315211422295441,98.38001098297639,0.1372872048325096,0.1372872048325096,0.6315211422295441,0.0,8.304498269896193,91.6955017301038,46.71280276816609,44.982698961937714
37063001304,2882,38,2370,2,2,469,0,1200,101,1099,338,761,1.31852879944483,82.23455933379597,0.06939625260235947,0.06939625260235947,16.273421235253295,0.0,8.416666666666666,91.58333333333334,28.166666666666668,63.416666666666664
37063001400,3412.72588,40.08191651,3223.53298,4.007927405,1.002642468,144.0977713,0,1388.008276,128.3963702,1259.611906,286.541706,973.0701996,1.174483914600255,94.45625266568436,0.11744064850001959,0.029379519576298342,4.2223658262292085,0.0,9.250403792260963,90.74959622214817,20.644092038540553,70.10550415478934
37063001501,3008,2145,234,4,485,124,0,145,3,142,2,140,71.30984042553192,7.779255319148937,0.13297872340425532,16.12367021276596,4.122340425531915,0.0,2.0689655172413794,97.93103448275862,1.3793103448275863,96.55172413793103
37063001502,6122.391514,1424.393188,2483.94165,28.98764992,812.6537476,1313.44043,0.999574125,3144.660156,358.8471069,2785.812988,86.96295166,2698.850098,23.26530710659155,40.57142775531425,0.47346939269914845,13.27346912953401,21.45306171610508,0.016326530616578273,11.411315980053395,88.58868207697036,2.765416526618147,85.82326751113642
37063001503,1694,1165,172,8,263,82,0,21,0,21,0,21,68.77213695395513,10.15348288075561,0.47225501770956313,15.52538370720189,4.8406139315230226,0.0,0.0,100.0,0.0,100.0
37063001601,5516,3977,1298,23,138,63,0,2001,57,1944,1811,133,72.09934735315446,23.531544597534445,0.4169688179840464,2.5018129079042786,1.1421319796954315,0.0,2.848575712143928,97.15142428785607,90.50474762618691,6.646676661669165
37063001603,5539.715293,4681.154297,639.9274902,24.95816994,98.83435059,74.87451172,1.996653557,2125.437744,54.90797424,2070.529785,1946.737183,123.7925186,84.50171262258044,11.551631380923387,0.4505316360127246,1.784105235785084,1.3515949423359652,0.03604253019145184,2.5833725026763243,97.41662821435246,91.59229379903212,5.824330491422759
37063001604,5350,4456,663,22,124,66,0,2052,59,1993,1887,106,83.28971962616822,12.392523364485982,0.411214953271028,2.3177570093457946,1.2336448598130842,0.0,2.875243664717349,97.12475633528264,91.95906432748538,5.16569200779727
